"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ko:K00001",0,NA,NA,NA,NA
"ko:K00003,ko:K12524",0.836598194155654,0.175712995239739,1.03051468969792,0.571304403256566,NA
"ko:K00004",0,NA,NA,NA,NA
"ko:K00008",12.6655722007128,-0.220992493439008,1.05635856819349,2.40462801360823e-09,3.90398430444631e-08
"ko:K00010",0.908306610797567,0.178498775405804,1.03166491812876,0.55090989325373,NA
"ko:K00012",0,NA,NA,NA,NA
"ko:K00013",0.0478056110946088,0.0532308057474716,1.00881045717796,0.682271653549515,NA
"ko:K00014",0,NA,NA,NA,NA
"ko:K00019",0,NA,NA,NA,NA
"ko:K00020,ko:K00042",0,NA,NA,NA,NA
"ko:K00024",7.46364076113435,-0.220638776179726,1.05611242078421,0.0297847125449577,NA
"ko:K00027",17.1116429364668,-0.234019021930298,1.04572755424291,0.253273674285781,0.448099577582535
"ko:K00031",1.17123747181792,0.18651942756151,1.03515788330244,0.490163907656288,NA
"ko:K00033",12.5368028330224,-0.286803285334078,1.07553073356572,0.0909771516093789,0.234670035926996
"ko:K00036",15.709668829738,-0.0236731000533985,0.977402702332435,0.920997605121017,0.955621575238348
"ko:K00045",0,NA,NA,NA,NA
"ko:K00052",13.6859957601481,-0.104093800384761,0.983494123165263,0.710030704262744,0.848348373924318
"ko:K00053",0.59757013868261,0.163363165189055,1.02580575107369,0.65813076607178,NA
"ko:K00057",0,NA,NA,NA,NA
"ko:K00058",6.35814627558297,0.218904730151034,1.05179543573609,NA,NA
"ko:K00059",7.03043959292078,-0.178740297567109,1.02869492249753,0.366036807338373,NA
"ko:K00060,ko:K08322",0,NA,NA,NA,NA
"ko:K00067",0,NA,NA,NA,NA
"ko:K00074",8.33434205741557,0.255458342210101,1.06464371868267,0.131402843254665,0.292477296276513
"ko:K00075",0.226170932155586,-0.194121705003165,1.04039412846441,0.315847554234763,NA
"ko:K00082",0,NA,NA,NA,NA
"ko:K00082,ko:K11752",0,NA,NA,NA,NA
"ko:K00088",13.0547321288664,-0.0958868927860117,0.988178798552357,NA,NA
"ko:K00091",5.42810237173407,-0.220317604079451,1.05588961278864,0.0399791229292537,NA
"ko:K00099",34.9822789910144,-0.329593743242634,1.09750464547525,0.044196038082666,0.141231644101539
"ko:K00101,ko:K00104",0,NA,NA,NA,NA
"ko:K00101,ko:K00467",0,NA,NA,NA,NA
"ko:K00103",0,NA,NA,NA,NA
"ko:K00104",11.5658661098326,-0.141269391190213,1.01235964748074,NA,NA
"ko:K00108,ko:K17755",0,NA,NA,NA,NA
"ko:K00111",11.344169964377,0.271678429569417,1.06402348286856,NA,NA
"ko:K00123",32.1667812804736,-0.256918892053404,1.06173940702293,0.137348940329712,0.298798345366091
"ko:K00123,ko:K02567",0,NA,NA,NA,NA
"ko:K00124",0,NA,NA,NA,NA
"ko:K00128",32.4842751973158,-0.275262487470429,1.07694671902175,0.00318323536944082,0.0363383679754845
"ko:K00128,ko:K00130,ko:K00146",0,NA,NA,NA,NA
"ko:K00130",37.0294736287815,-0.280815896236043,1.03917793918942,0.317602650133628,0.510424798503672
"ko:K00133",6.18194646701796,-0.144281598929505,1.01266144867539,0.516849082191985,NA
"ko:K00134",7.69886889872799,-0.0810695338657938,0.99312173522031,NA,NA
"ko:K00135",12.2785277901773,-0.0615316230955596,0.98896592000154,NA,NA
"ko:K00140",2.60540580465618,0.205757936150818,1.04464970307335,NA,NA
"ko:K00145",0.262930861020348,0.127908740783807,1.01566350035803,0.886140665580443,NA
"ko:K00147",4.07107677880055,-0.219925960458368,1.05561916772011,0.0516298584455395,NA
"ko:K00153",1.91222444378435,0.199387928196615,1.04132926085122,NA,NA
"ko:K00156,ko:K00158",0,NA,NA,NA,NA
"ko:K00161,ko:K00166",0,NA,NA,NA,NA
"ko:K00162",0,NA,NA,NA,NA
"ko:K00162,ko:K21417",0,NA,NA,NA,NA
"ko:K00163",27.0783004633394,0.0351388920549591,0.978436589647752,0.914309265008713,0.955621575238348
"ko:K00164,ko:K01616",34.8456939235357,-0.272348666244917,1.03070174996169,0.351237588630511,0.538564302566783
"ko:K00174",8.86104916510785,-0.154503588527348,1.0179196104616,0.467606363073887,0.645296781041964
"ko:K00175",0,NA,NA,NA,NA
"ko:K00208,ko:K11611",0.269928618149908,0.128082813470437,1.01575278677642,0.883136006017859,NA
"ko:K00215",0,NA,NA,NA,NA
"ko:K00231",11.3324494133266,-0.247835138580338,1.06532484692517,0.0275354397778944,0.0999971234039322
"ko:K00232",1.649293582764,0.19585987658498,1.03956850265127,0.41433850908502,NA
"ko:K00239,ko:K00278",8.7963993383241,0.0437663110406333,0.979877469833775,NA,NA
"ko:K00240",1.05172344408139,0.183237399858719,1.0336954415492,0.515442497887902,NA
"ko:K00241",7.01129889682317,-0.220581506722795,1.05607332827189,0.0315863456631769,NA
"ko:K00242",7.09948731895777,-0.136553966061355,1.01010324881149,0.54288418149757,NA
"ko:K00248,ko:K00249",0.406347694304175,0.147502171129221,1.02067014511597,0.763153882785761,NA
"ko:K00248,ko:K11410",0,NA,NA,NA,NA
"ko:K00249,ko:K00255",33.9607437386379,-0.00640974067541043,0.951627537688026,0.973039269010823,0.987348670025688
"ko:K00252",0,NA,NA,NA,NA
"ko:K00259",2.67711422129809,0.206281834021425,1.04492506553784,NA,NA
"ko:K00265,ko:K00284",11.9992083847468,0.224650480141034,1.05493343677424,NA,NA
"ko:K00266",9.60926783555029,-0.0502812154997785,0.987249845298183,NA,NA
"ko:K00271",1.00391783298679,0.181766810607371,1.03305511189238,0.526570605530707,NA
"ko:K00274",0,NA,NA,NA,NA
"ko:K00275",0,NA,NA,NA,NA
"ko:K00278,ko:K00767",2.39028055473044,0.204040857209654,1.04375278150727,NA,NA
"ko:K00281,ko:K00283",12.6722987172713,0.256915754579057,1.06622858292681,0.0958941687803056,0.238439554805084
"ko:K00285",23.5330141502631,0.299306329463345,1.08051347506595,0.0768771861638003,0.216235111747979
"ko:K00286",8.82066635406786,-0.220771086899081,1.05620437117853,0.025401500306895,0.0996502634154674
"ko:K00287",0,NA,NA,NA,NA
"ko:K00290",0.932209416344872,0.179360336833672,1.03202707194035,0.544541340125328,NA
"ko:K00294",48.4684946063309,-0.219401412822174,1.00247335154785,0.472895282398006,0.649348745979351
"ko:K00297",0,NA,NA,NA,NA
"ko:K00299",1.48197394393287,0.193123597604973,1.03823748035691,0.437266471741943,NA
"ko:K00318",12.4806192632401,-0.220982249674861,1.05635139193348,0.0181041631365443,0.0996502634154674
"ko:K00324",0,NA,NA,NA,NA
"ko:K00325",0.286833666567653,0.131834291308015,1.01655713571167,0.861339825606628,NA
"ko:K00329,ko:K00356",0,NA,NA,NA,NA
"ko:K00330",0.693181360871828,0.168993057765182,1.02787389790169,0.61919783961079,NA
"ko:K00331",0,NA,NA,NA,NA
"ko:K00332",12.6714568087954,-0.143823450740167,1.00519105448115,NA,NA
"ko:K00333",8.55574701625572,-0.0965527947624885,0.99695339777699,NA,NA
"ko:K00334",8.22394018667153,-0.166695921066041,1.0238558001207,0.410455248953113,0.583946642840511
"ko:K00335",1.5831965250891,-0.217506926624776,1.05396812723539,0.111799694781724,NA
"ko:K00336",1.6014879716694,0.195034218082766,1.03918095398019,0.420571626027403,NA
"ko:K00337",20.9365774812486,-0.191794307171606,1.03760051276056,0.272881443596889,0.46779676045181
"ko:K00338",0,NA,NA,NA,NA
"ko:K00338,ko:K12143",0,NA,NA,NA,NA
"ko:K00339",13.2107633096366,-0.240819225785739,1.06231034884136,0.0266039718164469,0.0996502634154674
"ko:K00339,ko:K05578",0,NA,NA,NA,NA
"ko:K00340",0,NA,NA,NA,NA
"ko:K00340,ko:K05576",0.764889777513741,0.172577506912232,1.02925816176716,0.593915438742037,NA
"ko:K00341",0,NA,NA,NA,NA
"ko:K00342",0.226170932155586,-0.194121705003165,1.04039412846441,0.315847554234763,NA
"ko:K00343",0,NA,NA,NA,NA
"ko:K00344",14.1671894339482,-0.221044442480602,1.05639474398979,0.0159206907117397,0.0996502634154674
"ko:K00360",0,NA,NA,NA,NA
"ko:K00362",0,NA,NA,NA,NA
"ko:K00363",0,NA,NA,NA,NA
"ko:K00365",0,NA,NA,NA,NA
"ko:K00366,ko:K00392",0,NA,NA,NA,NA
"ko:K00370",7.8236541361541,-0.220663350468136,1.05612949428589,0.028728083149233,NA
"ko:K00371",0,NA,NA,NA,NA
"ko:K00372",0,NA,NA,NA,NA
"ko:K00373",0,NA,NA,NA,NA
"ko:K00374",0.980015027439481,0.180992823554932,1.03272179664112,0.532381459330963,NA
"ko:K00382",57.876750752193,-0.236219726993981,1.03399526729396,0.34261986351003,0.528285376138371
"ko:K00383",0,NA,NA,NA,NA
"ko:K00384",44.0225854667025,0.0938469994331521,0.96041948638194,0.795297781469473,0.887950925552022
"ko:K00384,ko:K03671",16.6266561521454,0.360017072849433,1.10603336291925,0.0775625944313404,0.216235111747979
"ko:K00389",0,NA,NA,NA,NA
"ko:K00390",0,NA,NA,NA,NA
"ko:K00425",0,NA,NA,NA,NA
"ko:K00426",0,NA,NA,NA,NA
"ko:K00432",0.334639277662262,0.138945138372224,1.01830752622624,0.817615599866306,NA
"ko:K00451",0,NA,NA,NA,NA
"ko:K00453",0,NA,NA,NA,NA
"ko:K00457",6.15623222038305,-0.185642365995703,1.03128465916637,0.344065422507615,NA
"ko:K00459",0,NA,NA,NA,NA
"ko:K00493",0,NA,NA,NA,NA
"ko:K00508",13.4844738258411,0.32063745125048,1.09327624814293,0.0631338732079488,0.187365043068751
"ko:K00518",21.9630846940226,-0.292599024316217,1.08248058821231,0.0304832646293927,0.106989299052418
"ko:K00525",30.2842433672949,0.075179356745267,0.975454749391418,0.814646755854387,0.894482046610714
"ko:K00526",0,NA,NA,NA,NA
"ko:K00548",14.489671933855,-0.165799359725389,1.01139060298742,0.496757399787512,0.672012087577469
"ko:K00554",0,NA,NA,NA,NA
"ko:K00556",0,NA,NA,NA,NA
"ko:K00560",0,NA,NA,NA,NA
"ko:K00560,ko:K00943",0,NA,NA,NA,NA
"ko:K00564",0,NA,NA,NA,NA
"ko:K00566",0,NA,NA,NA,NA
"ko:K00567",0,NA,NA,NA,NA
"ko:K00568",0,NA,NA,NA,NA
"ko:K00573",0,NA,NA,NA,NA
"ko:K00574",11.864325829202,-0.146555177801708,1.01461478477503,NA,NA
"ko:K00594",0,NA,NA,NA,NA
"ko:K00598",0,NA,NA,NA,NA
"ko:K00600",8.36832448975669,-0.220731822233814,1.05617703526967,0.0267178242490746,0.0996502634154674
"ko:K00602",2.92155632245777,0.22705909481493,1.05092654229756,NA,NA
"ko:K00604",0,NA,NA,NA,NA
"ko:K00605",0,NA,NA,NA,NA
"ko:K00606",0,NA,NA,NA,NA
"ko:K00609",0,NA,NA,NA,NA
"ko:K00611",0.119514027736522,0.0915066616857544,1.00997981886639,0.890878566966622,NA
"ko:K00615",31.2005439101168,-0.317526539493387,1.09565959825594,0.00431941003583262,0.0441539692551779
"ko:K00616",7.28527544007337,-0.245981768540581,1.06345010471794,0.0581835089524873,NA
"ko:K00616,ko:K08313,ko:K08314",0,NA,NA,NA,NA
"ko:K00619",9.76391131385448,-0.247329079135251,1.06466301088034,0.0335599787390077,0.112957977219099
"ko:K00620",0.0478056110946088,0.0532308057474716,1.00881045717796,0.682271653549515,NA
"ko:K00626",66.5142084857684,-0.235457608581277,1.05271763592542,0.178898938541291,0.357012413555247
"ko:K00626,ko:K00632",16.2908107528575,0.0477127746254691,0.985978651614758,NA,NA
"ko:K00627",7.98026824203281,-0.146412094384174,1.01427621355036,0.502417423047775,0.672012087577469
"ko:K00635",16.7181209993417,0.259621016387077,1.05263309633189,NA,NA
"ko:K00639",0,NA,NA,NA,NA
"ko:K00640",0.0956112221892176,0.0815199391349735,1.00920681936237,0.830385176254139,NA
"ko:K00641",14.9338181461578,0.262089463960724,1.0684902289063,0.0813442089490241,0.222287145246838
"ko:K00645",1.42873400957543,-0.210814375971556,1.0418292655435,0.266475416158066,NA
"ko:K00648,ko:K11608",0.81269538860835,0.174710907545055,1.03010858731946,0.57857518480392,NA
"ko:K00655",22.5768448604408,-0.200582629096278,1.02873185515483,0.367711040066346,0.55156656009952
