"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ko:K00001",6.53597416010914,0.056099539724669,0.984438371456522,0.837080730199009,NA
"ko:K00001,ko:K00043",0.917758489638547,-0.143699200894094,1.02277247151211,0.810051069829198,NA
"ko:K00001,ko:K13954",0,NA,NA,NA,NA
"ko:K00003",0,NA,NA,NA,NA
"ko:K00004",2.67393478478798,0.237403546172151,1.05973241934267,0.0853821230298876,NA
"ko:K00004,ko:K00102",0,NA,NA,NA,NA
"ko:K00008",0,NA,NA,NA,NA
"ko:K00010",0,NA,NA,NA,NA
"ko:K00012",367.501880810115,0.499908266920521,1.20914627316376,NA,NA
"ko:K00013",0,NA,NA,NA,NA
"ko:K00014",0,NA,NA,NA,NA
"ko:K00015",15.1928665622251,-0.397633673093393,1.0928123921731,0.167099918537721,NA
"ko:K00015,ko:K00050,ko:K00090",0,NA,NA,NA,NA
"ko:K00019",5.95166129517325,0.281453323819401,1.07752069474133,0.031101319661454,NA
"ko:K00020",0,NA,NA,NA,NA
"ko:K00020,ko:K00042",2.15639901999031,0.220598692781645,1.05387413854074,0.107302461521643,NA
"ko:K00023",1.1177470238935,-0.151238182372412,1.0246113383302,0.754422773291052,NA
"ko:K00024",3.59455408441764,-0.186688236516989,1.0370027757033,NA,NA
"ko:K00029",3.21521814441342,-0.18369873269676,1.03570949165121,0.479499650366627,NA
"ko:K00031",6.83836270565461,0.130107644233642,0.993628445340709,0.646913230804224,NA
"ko:K00031,ko:K00052,ko:K07246",0,NA,NA,NA,NA
"ko:K00033",0.0584585117166077,-0.0570012020615362,1.01387151264152,0.443988177529265,NA
"ko:K00034",0,NA,NA,NA,NA
"ko:K00035",0,NA,NA,NA,NA
"ko:K00036",4.9165897655779,0.273748693237236,1.07413929193328,0.0397827152617979,NA
"ko:K00038",2.78052664703352,-0.1797778191989,1.03407161287141,0.514130819640273,NA
"ko:K00039",0,NA,NA,NA,NA
"ko:K00040,ko:K00045",4.07781700949912,-0.245183303422226,1.05121439915277,0.35827916745911,NA
"ko:K00042",5.00179528578597,-0.117280386559248,0.999612908946674,0.654879468853724,NA
"ko:K00046",0,NA,NA,NA,NA
"ko:K00052",15.6307344037337,0.259700907317377,1.05669826854501,0.200358202695107,NA
"ko:K00053",15.5508655494252,-0.0168403101127618,0.942945398925825,0.956554441416089,NA
"ko:K00057",0,NA,NA,NA,NA
"ko:K00058",5.26161360877635,0.276761190857449,1.07544534868638,0.0364554103892133,NA
"ko:K00059",13.8049619035649,0.0930680225686902,0.96971731243488,NA,NA
"ko:K00059,ko:K18337",7.63767616451323,0.290126085869558,1.07039575262061,NA,NA
"ko:K00059,ko:K18609",5.42704986659576,0.040282535686003,0.977619776801599,0.896976367917701,NA
"ko:K00060",1.9860904621668,-0.169930029446887,1.030340963724,0.59865549965831,NA
"ko:K00064",7.80175273437405,0.00853332894836866,0.971580202710179,0.983555597783057,NA
"ko:K00065",0,NA,NA,NA,NA
"ko:K00067",2.09624018380815,0.200705843738339,1.03229202311139,0.33116155442593,NA
"ko:K00074",0.19860904621668,-0.0914746271621609,1.01551522277525,0.73934917799454,NA
"ko:K00075",0,NA,NA,NA,NA
"ko:K00075,ko:K01921",0,NA,NA,NA,NA
"ko:K00077",0.229439622409637,-0.0976715399686406,1.01593711465587,0.789231425603105,NA
"ko:K00082",0,NA,NA,NA,NA
"ko:K00088,ko:K00364",1.07071823791164,-0.149892591698217,1.02425782280012,0.765967568669599,NA
"ko:K00097",0.726558804297183,-0.136382806671931,1.02117863624311,0.877836091179556,NA
"ko:K00097,ko:K22024",0,NA,NA,NA,NA
"ko:K00101",1.72079716807228,-0.165649978921164,1.02887520509914,0.635211958072253,NA
"ko:K00101,ko:K15054",0,NA,NA,NA,NA
"ko:K00102",0,NA,NA,NA,NA
"ko:K00103,ko:K16653",0,NA,NA,NA,NA
"ko:K00104",0,NA,NA,NA,NA
"ko:K00108",0,NA,NA,NA,NA
"ko:K00111",3.10521458878604,0.248181769424707,1.06374727933288,0.0715059764605631,NA
"ko:K00111,ko:K21054",0.0382399370682728,-0.0494510076856806,1.01371267977249,0.443988177529425,NA
"ko:K00117",29.0145439744115,-0.292249136729708,1.02756571530348,0.350768609971004,NA
"ko:K00121",18.8809133850444,-0.132993145952448,0.971396177100182,0.671365339251234,NA
"ko:K00123",550.531675507216,0.516099468839841,1.10342812803259,0.213543045864491,0.346001725303691
"ko:K00124,ko:K00335",49.0925806760804,-0.418258439502238,1.03874048486683,0.299215038789884,0.461289851467738
"ko:K00126",6.3690266732546,-0.110599757024356,0.986553293486287,0.56689812010093,NA
"ko:K00127",12.4407920777575,-0.222909843330102,0.987816994072243,0.478603904672817,NA
"ko:K00128",14.9145775984933,-0.0483300153642405,0.943563585811289,0.888264204064291,NA
"ko:K00128,ko:K00130",0.0382399370682728,-0.0494510076856806,1.01371267977249,0.443988177529425,NA
"ko:K00130",2.24265498078992,0.223755562988885,1.05493790817653,0.102972495621059,NA
"ko:K00133",352.824472138793,0.51446976691278,1.22069552268738,NA,NA
"ko:K00134",7.38499466804716,0.419590055284312,1.14409955696369,0.044332493798429,NA
"ko:K00135",719.140388178938,0.967091449650104,1.84151008324457,0.00867899592775037,0.0458746927609662
"ko:K00137",4.87584597496093,-0.0555569384299767,0.980189253333368,0.717795082417626,NA
"ko:K00138",23.4778334674409,0.251059922521997,1.04924615041357,NA,NA
"ko:K00140",16.582327695866,0.0343377128120158,0.942327749141816,0.933405563779014,NA
"ko:K00141,ko:K21802",0,NA,NA,NA,NA
"ko:K00145",7.78898695520033,-0.171751409686794,0.968364000382501,0.636333948119509,NA
"ko:K00147",0,NA,NA,NA,NA
"ko:K00154,ko:K22445",0,NA,NA,NA,NA
"ko:K00161",75.8589982884631,0.668671482234365,1.35367425029613,0.022577066517046,0.0806674780690218
"ko:K00162",140.991647793332,0.365894016524796,1.11723147749982,0.0239822232097092,0.0806674780690218
"ko:K00162,ko:K00627",19.8344025947853,0.3974401393348,1.13055284370503,0.0487074545903185,NA
"ko:K00163",0,NA,NA,NA,NA
"ko:K00164",30.0950293358255,-0.175870365422186,0.953143980375906,0.638064045952716,NA
"ko:K00166",491.954188957774,0.33515225028294,1.10301991284882,NA,NA
"ko:K00167",0,NA,NA,NA,NA
"ko:K00179",0,NA,NA,NA,NA
"ko:K00180",0,NA,NA,NA,NA
"ko:K00208",5.1684441801709,-0.0296785832414953,0.977752667983264,0.928461161069784,NA
"ko:K00210,ko:K00220,ko:K04517",0,NA,NA,NA,NA
"ko:K00215",0,NA,NA,NA,NA
"ko:K00228",0.803038678433729,-0.139892278003021,1.0219061284036,0.848679546700724,NA
"ko:K00239",24.8791135600663,0.140223169313857,0.956440274894104,0.708762451753691,NA
"ko:K00240",2.86433068056214,-0.0412012048092262,0.988017177887154,0.907019852937783,NA
"ko:K00241",0.0584585117166077,-0.0570012020615362,1.01387151264152,0.443988177529265,NA
"ko:K00242",0,NA,NA,NA,NA
"ko:K00248,ko:K00249,ko:K20035",1.33839779738955,-0.157466505361389,1.02633056585564,0.703412840215602,NA
"ko:K00249",108.915888542439,0.533305283960877,1.21870645112885,0.0438094515984486,0.129277798758553
"ko:K00252",4.65310503416309,-0.00598971240544127,0.9721432205085,0.997299872856282,NA
"ko:K00253",6.96939886817914,-0.152921351369636,1.00994274548315,NA,NA
"ko:K00254",0,NA,NA,NA,NA
"ko:K00259",868.688195978188,6.57877576587731,3.72653572249688,0.00049476692313502,0.00915318807799786
"ko:K00265",25.6973201900367,-0.0919210663456589,0.93676616038456,0.803648958493679,NA
"ko:K00266",6.01513394727498,0.298584555416545,1.05649732248317,0.261744545541744,NA
"ko:K00274",0,NA,NA,NA,NA
"ko:K00275",0,NA,NA,NA,NA
"ko:K00278",0.841278615502001,-0.141519397291232,1.022260247277,0.835182418497643,NA
"ko:K00281,ko:K00283",3.9387135180321,-0.18998169828651,1.0382076551531,NA,NA
"ko:K00285",2.71065583881478,0.0965246136607603,0.997098562496814,0.775540533804092,NA
"ko:K00286",0,NA,NA,NA,NA
"ko:K00287",0,NA,NA,NA,NA
"ko:K00293,ko:K19064",0,NA,NA,NA,NA
"ko:K00297",0.497119181887546,-0.12317305603695,1.01885870697293,0.989138943327987,NA
"ko:K00302",3.49477109421884,-0.235684341976753,1.04740713336388,0.397778675357113,NA
"ko:K00302,ko:K22086",9.01110457043719,0.0344859119341589,0.953026385643065,0.928627855353829,NA
"ko:K00303",167.905347657793,0.271559765999677,1.07416392851501,3.38439754808942e-12,2.50445418558617e-10
"ko:K00303,ko:K22084",1.07071823791164,-0.149892591698217,1.02425782280012,0.765967568669599,NA
"ko:K00304",0,NA,NA,NA,NA
"ko:K00304,ko:K22085",0,NA,NA,NA,NA
"ko:K00305",1.30015786032127,-0.15649793974759,1.02605075112593,0.71144221770424,NA
"ko:K00305,ko:K22087",0,NA,NA,NA,NA
"ko:K00311",1.55260729439302,0.217912941106356,1.05256739300709,0.128556451012778,NA
"ko:K00314",196.380008860524,0.614715555776877,1.28606924305089,NA,NA
"ko:K00315",6.484747027111,-0.0636653508906451,0.966821558071191,0.847288147931595,NA
"ko:K00315,ko:K19191",2.15219456702655,-0.193173718810034,1.03453648452256,0.550507682579387,NA
"ko:K00317",0,NA,NA,NA,NA
"ko:K00322",0,NA,NA,NA,NA
"ko:K00324",12.0643296061147,0.266332327701755,1.05568308414072,NA,NA
"ko:K00325",3.96997756055788,0.0180941827356119,0.978061998098228,0.935739629076165,NA
"ko:K00329",6.02945391050678,-0.215609582522286,1.00619173128134,0.470529301218143,NA
