"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ko:K00001",9.65016307393527,-0.287498074057651,1.03337790323729,0.32827138990593,NA
"ko:K00001,ko:K00043",0.256815856440615,-0.0952172067193187,1.01526323324466,0.78326836857936,NA
"ko:K00001,ko:K13954",0,NA,NA,NA,NA
"ko:K00003",0.549646981171646,-0.121274198564821,1.01828767549312,0.996453368537309,NA
"ko:K00004",7.296428802342,-0.265284577674028,1.06118486746751,0.260097371471818,NA
"ko:K00004,ko:K00102",0.109929396234329,-0.0688433838084565,1.01368722602988,0.561909435483338,NA
"ko:K00008",0.494682283054481,-0.117532374102755,1.01773864428634,0.972328595979712,NA
"ko:K00010",0,NA,NA,NA,NA
"ko:K00012",1.48404684916344,-0.156543373235159,1.02596340558205,0.707758984933284,NA
"ko:K00013",0.354601507668994,0.200800925781784,1.04353991039975,0.203426464081321,NA
"ko:K00014",0,NA,NA,NA,NA
"ko:K00015",1.75887033974927,-0.162233147424632,1.02769138369806,0.661125257904747,NA
"ko:K00015,ko:K00050,ko:K00090",0,NA,NA,NA,NA
"ko:K00019",0,NA,NA,NA,NA
"ko:K00020",0,NA,NA,NA,NA
"ko:K00020,ko:K00042",4.15303177002705,0.0105401036015696,0.979743938442997,0.950351653582642,NA
"ko:K00023",2.13734643805889,-0.168573061264499,1.02979651257268,0.608972349319482,NA
"ko:K00024",10.1004818282618,-0.396440091929661,1.1190673475613,0.129648154539859,NA
"ko:K00029",1.28407928220308,-0.151633614162987,1.02458887082785,0.748130197685457,NA
"ko:K00031",7.80123316871787,0.272027259524441,1.07380944255148,0.0253175973818968,NA
"ko:K00033",6.94023799447159,0.117721096525813,0.983614160142777,0.701278199668582,NA
"ko:K00034",0,NA,NA,NA,NA
"ko:K00035",0,NA,NA,NA,NA
"ko:K00036",4.33975028263178,0.00370757031128799,0.98619066518602,0.899094935215686,NA
"ko:K00038",0,NA,NA,NA,NA
"ko:K00040",0,NA,NA,NA,NA
"ko:K00040,ko:K00045",0.71454107552314,-0.13068178641236,1.01987222187739,0.918693646225998,NA
"ko:K00042",8.14996858411316,0.158287097329968,1.00634513004964,0.548767483278079,NA
"ko:K00046",5.31902261503491,0.259438631408771,1.06853431598265,0.0406541238760448,NA
"ko:K00052",1.04432926422613,-0.14428153990887,1.02273431136934,0.80752631340749,NA
"ko:K00053",12.8860200901999,-0.13527963988847,0.963435930924308,0.68768629912154,NA
"ko:K00054",0,NA,NA,NA,NA
"ko:K00057",2.95501256390828,0.229011728640626,1.05702807289099,0.0822544759367076,NA
"ko:K00058",1.15425866046046,-0.147822736504097,1.02360048137701,0.778720254917764,NA
"ko:K00059",11.5489303560464,0.191398475985144,0.996531355784944,0.54116038942015,NA
"ko:K00059,ko:K18337",0,NA,NA,NA,NA
"ko:K00060",1.59397624539777,-0.158973953393926,1.02668302002159,0.688000226124827,NA
"ko:K00064",2.2058292495116,-0.173110965935408,1.03063556326878,0.596142643159573,NA
"ko:K00067",0,NA,NA,NA,NA
"ko:K00074",6.7547611288551,-0.0942825929532358,0.985612698128802,0.605510227838067,NA
"ko:K00075",0,NA,NA,NA,NA
"ko:K00075,ko:K01921",0,NA,NA,NA,NA
"ko:K00077",0,NA,NA,NA,NA
"ko:K00082",3.25459571249876,-0.180876896371181,1.03448556983195,0.503732805156995,NA
"ko:K00087",0,NA,NA,NA,NA
"ko:K00088,ko:K00364",7.45656652955824,0.242149166335474,1.02852086927363,0.381268713788824,NA
"ko:K00091",0,NA,NA,NA,NA
"ko:K00097",0,NA,NA,NA,NA
"ko:K00101",6.76012458163478,0.0653843449856971,0.981998027365938,0.824733732588624,NA
"ko:K00101,ko:K15054",0,NA,NA,NA,NA
"ko:K00102",2.60041105623929,0.221561402187957,1.05444860301302,0.0930515219544783,NA
"ko:K00103,ko:K16653",1.65480703578864,0.218601579751344,1.0529587428004,0.119705274862166,NA
"ko:K00104",4.08328219364659,-0.0242699030741435,0.971503373742494,0.967167710947375,NA
"ko:K00108",2.00940854345763,0.219960153479126,1.05364891161245,0.107727391395842,NA
"ko:K00111",0,NA,NA,NA,NA
"ko:K00111,ko:K21054",1.65480703578864,0.218601579751344,1.0529587428004,0.119705274862166,NA
"ko:K00117",3.80570733932827,-0.268128234883947,1.05549796692224,0.369281983454587,NA
"ko:K00117,ko:K05358",15.7983572304854,-0.412971225255872,1.13460656126938,0.08314546800365,NA
"ko:K00121",14.67989834403,-0.0873829102905384,0.955642421270547,0.787207528825974,NA
"ko:K00123",202.599608632945,-0.344710395709021,0.989954326716351,0.395518341454878,0.633912958222202
"ko:K00124,ko:K00335",30.0794979596099,-0.377659606856683,1.08403623440099,0.199612229310866,0.456574509570874
"ko:K00126",0,NA,NA,NA,NA
"ko:K00127",21.0562494094036,-0.217700571104933,1.00098093634272,0.464080828013765,0.685400301599292
"ko:K00128",11.9431639782039,-0.00353814400230315,0.957048143534151,0.983581834720174,NA
"ko:K00128,ko:K00130",0,NA,NA,NA,NA
"ko:K00128,ko:K00146",0,NA,NA,NA,NA
"ko:K00128,ko:K09472",0,NA,NA,NA,NA
"ko:K00130",0.604611679288811,-0.124680128932435,1.01882661381134,0.968184455878965,NA
"ko:K00133",292.902294204473,0.640546633140293,1.33184227848392,NA,NA
"ko:K00134",0.109929396234329,-0.0688433838084565,1.01368722602988,0.561909435483338,NA
"ko:K00135",20.0725182657233,-0.15457927954357,0.973048118870259,0.643839958443412,0.790638664539354
"ko:K00137",9.10143869683751,0.275435324231049,1.07530124860098,NA,NA
