"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ko:K00003,ko:K12524",0,NA,NA,NA,NA
"ko:K00012",0,NA,NA,NA,NA
"ko:K00013",0,NA,NA,NA,NA
"ko:K00014",0,NA,NA,NA,NA
"ko:K00019",0,NA,NA,NA,NA
"ko:K00020",0,NA,NA,NA,NA
"ko:K00023",0,NA,NA,NA,NA
"ko:K00024",0.694335308824993,-3.619174471405e-08,0.00144269488976106,0.881303773923047,0.996745218506392
"ko:K00029",0,NA,NA,NA,NA
"ko:K00030",0,NA,NA,NA,NA
"ko:K00031",0,NA,NA,NA,NA
"ko:K00033",0.200976647117708,1.80196533984435e-07,0.00144269500408367,0.971234621404605,0.996745218506392
"ko:K00036",0,NA,NA,NA,NA
"ko:K00052",0,NA,NA,NA,NA
"ko:K00053",0,NA,NA,NA,NA
"ko:K00057",0,NA,NA,NA,NA
"ko:K00058",0,NA,NA,NA,NA
"ko:K00059",0,NA,NA,NA,NA
"ko:K00060",0,NA,NA,NA,NA
"ko:K00065",0,NA,NA,NA,NA
"ko:K00067",0,NA,NA,NA,NA
"ko:K00075",0,NA,NA,NA,NA
"ko:K00088",0.401993842041225,-1.73316945796705e-07,0.00144269501684856,0.610973928118293,0.996745218506392
"ko:K00090",0,NA,NA,NA,NA
"ko:K00097",0,NA,NA,NA,NA
"ko:K00099",0.200976647117708,1.80196533984435e-07,0.00144269500408367,0.971234621404605,0.996745218506392
"ko:K00102,ko:K03777",0,NA,NA,NA,NA
"ko:K00108",0,NA,NA,NA,NA
"ko:K00121",0,NA,NA,NA,NA
"ko:K00128",0,NA,NA,NA,NA
"ko:K00130,ko:K00151,ko:K10217",0,NA,NA,NA,NA
"ko:K00133",0,NA,NA,NA,NA
"ko:K00134",0,NA,NA,NA,NA
"ko:K00145",0,NA,NA,NA,NA
"ko:K00146,ko:K09472",0,NA,NA,NA,NA
"ko:K00147",0,NA,NA,NA,NA
"ko:K00154",0,NA,NA,NA,NA
"ko:K00161",0,NA,NA,NA,NA
"ko:K00162",0,NA,NA,NA,NA
"ko:K00163",0.321445628895908,1.7345536829973e-08,0.00144269495955341,0.856722256059138,0.996745218506392
"ko:K00164",0.192086328877621,-4.76836534006076e-08,0.00144269496294425,0.825461200821556,0.996745218506392
"ko:K00208",0.200976647117708,1.80196533984435e-07,0.00144269500408367,0.971234621404605,0.996745218506392
"ko:K00215",0,NA,NA,NA,NA
"ko:K00219",0,NA,NA,NA,NA
"ko:K00228",0,NA,NA,NA,NA
"ko:K00239",0.401993842041225,-1.73316945796705e-07,0.00144269501684856,0.610973928118293,0.996745218506392
"ko:K00240",0,NA,NA,NA,NA
"ko:K00241",0,NA,NA,NA,NA
"ko:K00242",0,NA,NA,NA,NA
"ko:K00252",0,NA,NA,NA,NA
"ko:K00253",0,NA,NA,NA,NA
"ko:K00254",0,NA,NA,NA,NA
"ko:K00263",0,NA,NA,NA,NA
"ko:K00265",0,NA,NA,NA,NA
"ko:K00266",0,NA,NA,NA,NA
"ko:K00275",0,NA,NA,NA,NA
"ko:K00281,ko:K00283",0,NA,NA,NA,NA
"ko:K00285",0,NA,NA,NA,NA
"ko:K00285,ko:K21060",0,NA,NA,NA,NA
"ko:K00286",0,NA,NA,NA,NA
"ko:K00287",0,NA,NA,NA,NA
"ko:K00297",0,NA,NA,NA,NA
"ko:K00311",0,NA,NA,NA,NA
"ko:K00324",0,NA,NA,NA,NA
"ko:K00325",0,NA,NA,NA,NA
"ko:K00329,ko:K00356",0,NA,NA,NA,NA
"ko:K00330",0,NA,NA,NA,NA
"ko:K00331",0.249788848850357,-1.61549794797972e-07,0.00144269501172349,0.610973928118293,0.996745218506392
"ko:K00332",0,NA,NA,NA,NA
"ko:K00333",0.772171691917844,-8.63237170016408e-08,0.00144269491451949,0.743140028816441,0.996745218506392
"ko:K00334",0,NA,NA,NA,NA
"ko:K00335",0,NA,NA,NA,NA
"ko:K00336",0,NA,NA,NA,NA
"ko:K00337",0,NA,NA,NA,NA
"ko:K00338",0,NA,NA,NA,NA
"ko:K00339",0,NA,NA,NA,NA
"ko:K00340",0,NA,NA,NA,NA
"ko:K00341",0,NA,NA,NA,NA
"ko:K00342",0,NA,NA,NA,NA
"ko:K00343",0,NA,NA,NA,NA
"ko:K00344",0,NA,NA,NA,NA
"ko:K00355",0,NA,NA,NA,NA
"ko:K00375",0,NA,NA,NA,NA
"ko:K00380",0,NA,NA,NA,NA
"ko:K00381",0,NA,NA,NA,NA
"ko:K00382",0,NA,NA,NA,NA
"ko:K00383",0,NA,NA,NA,NA
"ko:K00384",0,NA,NA,NA,NA
"ko:K00390",0,NA,NA,NA,NA
"ko:K00411",0,NA,NA,NA,NA
"ko:K00412",0,NA,NA,NA,NA
"ko:K00413",0,NA,NA,NA,NA
"ko:K00423",0,NA,NA,NA,NA
"ko:K00425",0,NA,NA,NA,NA
"ko:K00426",0,NA,NA,NA,NA
"ko:K00432",0,NA,NA,NA,NA
"ko:K00433",0,NA,NA,NA,NA
"ko:K00451",0,NA,NA,NA,NA
"ko:K00452",0,NA,NA,NA,NA
"ko:K00453",0,NA,NA,NA,NA
"ko:K00457",0.243569812856928,-5.33611342154167e-09,0.00144269495926138,0.856722297116863,0.996745218506392
"ko:K00459",0,NA,NA,NA,NA
"ko:K00480",0,NA,NA,NA,NA
"ko:K00486",0,NA,NA,NA,NA
"ko:K00499,ko:K16319",0,NA,NA,NA,NA
"ko:K00500",0,NA,NA,NA,NA
"ko:K00507",0,NA,NA,NA,NA
"ko:K00508",0,NA,NA,NA,NA
"ko:K00525",0.240937963556399,-1.68946699846287e-07,0.00144269501366203,0.568578001949135,0.996745218506392
"ko:K00526",0,NA,NA,NA,NA
"ko:K00528",0,NA,NA,NA,NA
"ko:K00537",0,NA,NA,NA,NA
"ko:K00548",0.1204689817782,-1.39261606475392e-07,0.00144269500558,0.657686365363535,0.996745218506392
"ko:K00549",0,NA,NA,NA,NA
"ko:K00554",0,NA,NA,NA,NA
"ko:K00558",0,NA,NA,NA,NA
"ko:K00560",0,NA,NA,NA,NA
"ko:K00564",0,NA,NA,NA,NA
"ko:K00566",0,NA,NA,NA,NA
"ko:K00567",0,NA,NA,NA,NA
"ko:K00568",0,NA,NA,NA,NA
"ko:K00569",0,NA,NA,NA,NA
"ko:K00571",0,NA,NA,NA,NA
"ko:K00573",0,NA,NA,NA,NA
"ko:K00574",0,NA,NA,NA,NA
"ko:K00598,ko:K02169",0,NA,NA,NA,NA
"ko:K00600",0,NA,NA,NA,NA
"ko:K00602",0,NA,NA,NA,NA
"ko:K00604",0,NA,NA,NA,NA
"ko:K00605",0,NA,NA,NA,NA
"ko:K00606",0,NA,NA,NA,NA
"ko:K00609",0,NA,NA,NA,NA
"ko:K00615",0,NA,NA,NA,NA
"ko:K00616",0,NA,NA,NA,NA
"ko:K00619",0,NA,NA,NA,NA
"ko:K00626",0,NA,NA,NA,NA
"ko:K00627",0,NA,NA,NA,NA
"ko:K00631",0,NA,NA,NA,NA
"ko:K00632",0,NA,NA,NA,NA
"ko:K00638,ko:K18234",0,NA,NA,NA,NA
"ko:K00639",0,NA,NA,NA,NA
"ko:K00640",0,NA,NA,NA,NA
"ko:K00641",0.1204689817782,-1.39261606475392e-07,0.00144269500558,0.657686365363535,0.996745218506392
"ko:K00645",0,NA,NA,NA,NA
"ko:K00647",0,NA,NA,NA,NA
"ko:K00648",0,NA,NA,NA,NA
"ko:K00652",0,NA,NA,NA,NA
"ko:K00655",0,NA,NA,NA,NA
"ko:K00657",0,NA,NA,NA,NA
"ko:K00658",0.370257830628556,-1.86128033055253e-07,0.00144269501715033,0.502134741040737,0.996745218506392
"ko:K00674",0,NA,NA,NA,NA
"ko:K00675",0,NA,NA,NA,NA
"ko:K00677",0,NA,NA,NA,NA
"ko:K00681",0,NA,NA,NA,NA
"ko:K00684",0,NA,NA,NA,NA
"ko:K00721",0,NA,NA,NA,NA
"ko:K00748",0,NA,NA,NA,NA
"ko:K00759",0,NA,NA,NA,NA
"ko:K00760",0,NA,NA,NA,NA
"ko:K00761",0,NA,NA,NA,NA
"ko:K00762",0,NA,NA,NA,NA
"ko:K00764",0,NA,NA,NA,NA
"ko:K00765",0,NA,NA,NA,NA
"ko:K00766",0,NA,NA,NA,NA
"ko:K00767",0,NA,NA,NA,NA
"ko:K00768",0,NA,NA,NA,NA
"ko:K00773",0,NA,NA,NA,NA
"ko:K00783",0,NA,NA,NA,NA
"ko:K00788",0,NA,NA,NA,NA
"ko:K00789",0,NA,NA,NA,NA
"ko:K00790",0,NA,NA,NA,NA
"ko:K00791",0,NA,NA,NA,NA
"ko:K00793",0,NA,NA,NA,NA
"ko:K00794",0,NA,NA,NA,NA
"ko:K00795",0,NA,NA,NA,NA
"ko:K00796",0,NA,NA,NA,NA
"ko:K00797",0,NA,NA,NA,NA
"ko:K00798",0,NA,NA,NA,NA
"ko:K00799",0,NA,NA,NA,NA
"ko:K00800",0,NA,NA,NA,NA
"ko:K00806",0,NA,NA,NA,NA
"ko:K00812",0.249788848850357,-1.61549794797972e-07,0.00144269501172349,0.610973928118293,0.996745218506392
"ko:K00817",0,NA,NA,NA,NA
