"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ko:K00001,ko:K00068,ko:K01629",0,NA,NA,NA,NA
"ko:K00003,ko:K12524",0,NA,NA,NA,NA
"ko:K00004",0,NA,NA,NA,NA
"ko:K00008",0,NA,NA,NA,NA
"ko:K00009",0,NA,NA,NA,NA
"ko:K00012",0,NA,NA,NA,NA
"ko:K00013",0,NA,NA,NA,NA
"ko:K00014",0,NA,NA,NA,NA
"ko:K00016,ko:K00024",0,NA,NA,NA,NA
"ko:K00019",0,NA,NA,NA,NA
"ko:K00020",0,NA,NA,NA,NA
"ko:K00020,ko:K00042",0,NA,NA,NA,NA
"ko:K00024",0,NA,NA,NA,NA
"ko:K00031",0,NA,NA,NA,NA
"ko:K00033",0,NA,NA,NA,NA
"ko:K00036",0,NA,NA,NA,NA
"ko:K00040",0,NA,NA,NA,NA
"ko:K00046,ko:K00065",0,NA,NA,NA,NA
"ko:K00052",0,NA,NA,NA,NA
"ko:K00053",0,NA,NA,NA,NA
"ko:K00057",0,NA,NA,NA,NA
"ko:K00058",0,NA,NA,NA,NA
"ko:K00059",0,NA,NA,NA,NA
"ko:K00059,ko:K18009",0,NA,NA,NA,NA
"ko:K00064",0,NA,NA,NA,NA
"ko:K00067,ko:K01790",0,NA,NA,NA,NA
"ko:K00074",0,NA,NA,NA,NA
"ko:K00075",0,NA,NA,NA,NA
"ko:K00077",0,NA,NA,NA,NA
"ko:K00082,ko:K11752",0,NA,NA,NA,NA
"ko:K00088",0,NA,NA,NA,NA
"ko:K00091",0,NA,NA,NA,NA
"ko:K00099",0,NA,NA,NA,NA
"ko:K00101,ko:K00104",0,NA,NA,NA,NA
"ko:K00101,ko:K00467",0,NA,NA,NA,NA
"ko:K00103",0,NA,NA,NA,NA
"ko:K00104",0,NA,NA,NA,NA
"ko:K00108",0,NA,NA,NA,NA
"ko:K00111",0,NA,NA,NA,NA
"ko:K00116",0,NA,NA,NA,NA
"ko:K00123",0,NA,NA,NA,NA
"ko:K00128",0,NA,NA,NA,NA
"ko:K00128,ko:K00130,ko:K00146",0,NA,NA,NA,NA
"ko:K00133",0,NA,NA,NA,NA
"ko:K00134",0,NA,NA,NA,NA
"ko:K00135",0,NA,NA,NA,NA
"ko:K00140",0,NA,NA,NA,NA
"ko:K00145",0,NA,NA,NA,NA
"ko:K00147",0,NA,NA,NA,NA
"ko:K00151",0,NA,NA,NA,NA
"ko:K00161,ko:K00166",0,NA,NA,NA,NA
"ko:K00162",0,NA,NA,NA,NA
"ko:K00163",0,NA,NA,NA,NA
"ko:K00164,ko:K01616",0,NA,NA,NA,NA
"ko:K00215",0,NA,NA,NA,NA
"ko:K00226,ko:K00254",0,NA,NA,NA,NA
"ko:K00231",0,NA,NA,NA,NA
"ko:K00232",0,NA,NA,NA,NA
"ko:K00239,ko:K00278",0,NA,NA,NA,NA
"ko:K00240",0,NA,NA,NA,NA
"ko:K00241",0,NA,NA,NA,NA
"ko:K00242",0,NA,NA,NA,NA
"ko:K00248,ko:K11410",0,NA,NA,NA,NA
"ko:K00249",0,NA,NA,NA,NA
"ko:K00252",0,NA,NA,NA,NA
"ko:K00259",0,NA,NA,NA,NA
"ko:K00261",0,NA,NA,NA,NA
"ko:K00263",0,NA,NA,NA,NA
"ko:K00265",0,NA,NA,NA,NA
"ko:K00266",0,NA,NA,NA,NA
"ko:K00274,ko:K03343",0,NA,NA,NA,NA
"ko:K00278,ko:K00767",0,NA,NA,NA,NA
"ko:K00281,ko:K00283",0,NA,NA,NA,NA
"ko:K00282",0,NA,NA,NA,NA
"ko:K00283",0,NA,NA,NA,NA
"ko:K00286",0,NA,NA,NA,NA
"ko:K00287",0,NA,NA,NA,NA
"ko:K00297",0,NA,NA,NA,NA
"ko:K00299",0,NA,NA,NA,NA
"ko:K00324",0,NA,NA,NA,NA
"ko:K00325",0,NA,NA,NA,NA
"ko:K00355",0,NA,NA,NA,NA
"ko:K00362",0,NA,NA,NA,NA
"ko:K00363",0,NA,NA,NA,NA
"ko:K00366,ko:K00392",0,NA,NA,NA,NA
"ko:K00380,ko:K02567",0,NA,NA,NA,NA
"ko:K00382",0,NA,NA,NA,NA
"ko:K00384",0,NA,NA,NA,NA
"ko:K00390",0,NA,NA,NA,NA
"ko:K00425",0,NA,NA,NA,NA
"ko:K00426",0,NA,NA,NA,NA
"ko:K00432",0,NA,NA,NA,NA
"ko:K00433",0,NA,NA,NA,NA
"ko:K00441",0,NA,NA,NA,NA
"ko:K00446",0,NA,NA,NA,NA
"ko:K00453",0,NA,NA,NA,NA
"ko:K00481",0,NA,NA,NA,NA
"ko:K00525",0,NA,NA,NA,NA
"ko:K00526",0,NA,NA,NA,NA
"ko:K00528",0,NA,NA,NA,NA
"ko:K00549",0,NA,NA,NA,NA
"ko:K00554",0,NA,NA,NA,NA
"ko:K00556",0,NA,NA,NA,NA
"ko:K00560",0,NA,NA,NA,NA
"ko:K00564",0,NA,NA,NA,NA
"ko:K00564,ko:K11391",0,NA,NA,NA,NA
"ko:K00566",0,NA,NA,NA,NA
"ko:K00567",0,NA,NA,NA,NA
"ko:K00571",0,NA,NA,NA,NA
"ko:K00594",0,NA,NA,NA,NA
"ko:K00600",0,NA,NA,NA,NA
"ko:K00602",0,NA,NA,NA,NA
"ko:K00604",0,NA,NA,NA,NA
"ko:K00605",0,NA,NA,NA,NA
"ko:K00606",0,NA,NA,NA,NA
"ko:K00609",0,NA,NA,NA,NA
"ko:K00611",0,NA,NA,NA,NA
"ko:K00615",0,NA,NA,NA,NA
"ko:K00616",0,NA,NA,NA,NA
"ko:K00619",0,NA,NA,NA,NA
"ko:K00620",0,NA,NA,NA,NA
"ko:K00626",0,NA,NA,NA,NA
"ko:K00626,ko:K00632",0,NA,NA,NA,NA
"ko:K00627",0,NA,NA,NA,NA
"ko:K00627,ko:K00658",0,NA,NA,NA,NA
"ko:K00640",0,NA,NA,NA,NA
"ko:K00641",0,NA,NA,NA,NA
"ko:K00645",0,NA,NA,NA,NA
"ko:K00648",0,NA,NA,NA,NA
"ko:K00648,ko:K11608",0,NA,NA,NA,NA
"ko:K00655",0,NA,NA,NA,NA
"ko:K00657",0,NA,NA,NA,NA
"ko:K00658",0,NA,NA,NA,NA
"ko:K00666",0,NA,NA,NA,NA
"ko:K00674",0,NA,NA,NA,NA
"ko:K00681",0,NA,NA,NA,NA
"ko:K00688",0,NA,NA,NA,NA
"ko:K00697,ko:K16055",0,NA,NA,NA,NA
"ko:K00700",0,NA,NA,NA,NA
"ko:K00721",0,NA,NA,NA,NA
"ko:K00728",0,NA,NA,NA,NA
"ko:K00756,ko:K00758",0,NA,NA,NA,NA
"ko:K00759",0,NA,NA,NA,NA
"ko:K00760",0,NA,NA,NA,NA
"ko:K00760,ko:K04075",0,NA,NA,NA,NA
"ko:K00761",0,NA,NA,NA,NA
"ko:K00762",0,NA,NA,NA,NA
"ko:K00763",0,NA,NA,NA,NA
"ko:K00764",0,NA,NA,NA,NA
"ko:K00765,ko:K02502",0,NA,NA,NA,NA
"ko:K00766",0,NA,NA,NA,NA
"ko:K00767",0,NA,NA,NA,NA
"ko:K00789",0,NA,NA,NA,NA
"ko:K00790",0,NA,NA,NA,NA
"ko:K00791",0,NA,NA,NA,NA
"ko:K00793",0,NA,NA,NA,NA
"ko:K00794",0,NA,NA,NA,NA
"ko:K00796,ko:K00950,ko:K01633",0,NA,NA,NA,NA
"ko:K00800",0,NA,NA,NA,NA
"ko:K00803",0,NA,NA,NA,NA
"ko:K00805",0,NA,NA,NA,NA
"ko:K00806,ko:K12503",0,NA,NA,NA,NA
"ko:K00806,ko:K14215,ko:K21273",0,NA,NA,NA,NA
"ko:K00812",0,NA,NA,NA,NA
"ko:K00812,ko:K14260",0,NA,NA,NA,NA
