"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ko:K00001",2.43471798674213,0.210998271779476,1.04778399798018,0.262519471433619,0.44677165900056
"ko:K00001,ko:K00043",0,NA,NA,NA,NA
"ko:K00003",6.04481707053219,0.221437922678436,1.05349540800471,NA,NA
"ko:K00004,ko:K00102",0,NA,NA,NA,NA
"ko:K00010",0,NA,NA,NA,NA
"ko:K00012",0,NA,NA,NA,NA
"ko:K00013",0,NA,NA,NA,NA
"ko:K00014",0,NA,NA,NA,NA
"ko:K00015",0,NA,NA,NA,NA
"ko:K00019",0,NA,NA,NA,NA
"ko:K00019,ko:K18335",0,NA,NA,NA,NA
"ko:K00020",0,NA,NA,NA,NA
"ko:K00020,ko:K00042",0.161255487783683,-0.143845245111685,1.02122838437982,0.686836859031916,0.755235550387791
"ko:K00023",0,NA,NA,NA,NA
"ko:K00024",0,NA,NA,NA,NA
"ko:K00029",0,NA,NA,NA,NA
"ko:K00031",1.00746951175536,0.193328730170404,1.038636681304,0.426695067430966,0.56537096434603
"ko:K00031,ko:K00052,ko:K07246",0,NA,NA,NA,NA
"ko:K00033",0,NA,NA,NA,NA
"ko:K00034",0,NA,NA,NA,NA
"ko:K00036",0,NA,NA,NA,NA
"ko:K00040,ko:K00045",0,NA,NA,NA,NA
"ko:K00042",0,NA,NA,NA,NA
"ko:K00052",0,NA,NA,NA,NA
"ko:K00053",1.17538109704793,0.197122089500431,1.0405043632817,0.394441216180839,0.536035498912423
"ko:K00057",0,NA,NA,NA,NA
"ko:K00058",0,NA,NA,NA,NA
"ko:K00059",0,NA,NA,NA,NA
"ko:K00060",0,NA,NA,NA,NA
"ko:K00067",0,NA,NA,NA,NA
"ko:K00073",0,NA,NA,NA,NA
"ko:K00074",0,NA,NA,NA,NA
"ko:K00075",0,NA,NA,NA,NA
"ko:K00075,ko:K01921",0.520139701251232,-0.184694613782131,1.03559332592407,0.484733469383584,0.60591683672948
"ko:K00076",0,NA,NA,NA,NA
"ko:K00088,ko:K00364",0,NA,NA,NA,NA
"ko:K00097",0,NA,NA,NA,NA
"ko:K00097,ko:K22024",0,NA,NA,NA,NA
"ko:K00101",0,NA,NA,NA,NA
"ko:K00102",0,NA,NA,NA,NA
"ko:K00103,ko:K16653",0,NA,NA,NA,NA
"ko:K00104",0,NA,NA,NA,NA
"ko:K00108",0,NA,NA,NA,NA
"ko:K00111",0,NA,NA,NA,NA
"ko:K00117,ko:K05358",0,NA,NA,NA,NA
"ko:K00117,ko:K21430",0,NA,NA,NA,NA
"ko:K00121",0,NA,NA,NA,NA
"ko:K00123",14.3004540878558,-0.232751648293326,1.04798206568765,0.230901885033314,0.442614197242023
"ko:K00124,ko:K00335",0.483766463351049,-0.185394474120099,1.03584759167359,0.489489944270113,0.607566300571054
"ko:K00126",0,NA,NA,NA,NA
"ko:K00127",6.28896402356364,-0.217983219715773,1.05429092352073,0.100015546394893,0.437937943543205
"ko:K00128",0,NA,NA,NA,NA
"ko:K00128,ko:K00130",0,NA,NA,NA,NA
"ko:K00128,ko:K09472",0,NA,NA,NA,NA
"ko:K00130",0,NA,NA,NA,NA
"ko:K00133",0.839557926462804,0.188425397502765,1.03630794209455,0.466673344977296,0.597432059995089
"ko:K00134",0,NA,NA,NA,NA
"ko:K00135",7.80209551876848,-0.21862324242628,1.05472694201794,0.0848162036775345,0.416227666195308
"ko:K00137",0,NA,NA,NA,NA
"ko:K00138",2.18285060880329,0.209296319754547,1.04685985758558,0.280104653718872,0.455384866475467
"ko:K00140",0,NA,NA,NA,NA
"ko:K00141",0,NA,NA,NA,NA
"ko:K00145",0,NA,NA,NA,NA
"ko:K00146",0,NA,NA,NA,NA
"ko:K00147",0,NA,NA,NA,NA
"ko:K00161",0,NA,NA,NA,NA
"ko:K00162",0,NA,NA,NA,NA
"ko:K00162,ko:K00627",0,NA,NA,NA,NA
"ko:K00163",0,NA,NA,NA,NA
"ko:K00164",0,NA,NA,NA,NA
"ko:K00166",0,NA,NA,NA,NA
"ko:K00167",0,NA,NA,NA,NA
"ko:K00208",3.594087492473,-0.215394383604091,1.05256887179108,0.151311285458243,0.442614197242023
"ko:K00210,ko:K00220,ko:K04517",0,NA,NA,NA,NA
"ko:K00215",0,NA,NA,NA,NA
"ko:K00228",13.7378979473994,-0.219857024261562,1.05557142482599,0.0531067583138772,0.413295885669075
"ko:K00239",2.93845274261981,0.213669407601325,1.04924434342382,0.234044476367862,0.442614197242023
"ko:K00240",0,NA,NA,NA,NA
"ko:K00241",0,NA,NA,NA,NA
"ko:K00242",0,NA,NA,NA,NA
"ko:K00248,ko:K00249,ko:K20035",0,NA,NA,NA,NA
"ko:K00249",4.09476217508795,-0.216164529392378,1.05307599234299,0.13747486046141,0.442614197242023
"ko:K00252",4.83766463351049,-0.216956976676945,1.05360369243248,0.121785059647766,0.442614197242023
"ko:K00253",0,NA,NA,NA,NA
"ko:K00254",0,NA,NA,NA,NA
"ko:K00259",0,NA,NA,NA,NA
"ko:K00261,ko:K00262",0,NA,NA,NA,NA
"ko:K00263",2.60262957203469,0.211982199977883,1.04832066832323,0.252160028373084,0.442614197242023
"ko:K00265",0,NA,NA,NA,NA
"ko:K00266",0.923513719109085,0.191043026379341,1.03753945322284,0.445533053856951,0.578756172902412
"ko:K00274",19.7083247079294,-0.220349688946523,1.05591195320291,0.038662840511789,0.413295885669075
"ko:K00275",0,NA,NA,NA,NA
"ko:K00278",0,NA,NA,NA,NA
"ko:K00281,ko:K00283",0,NA,NA,NA,NA
"ko:K00285",0,NA,NA,NA,NA
"ko:K00286",0,NA,NA,NA,NA
"ko:K00287",0,NA,NA,NA,NA
"ko:K00297",0,NA,NA,NA,NA
"ko:K00302",0,NA,NA,NA,NA
"ko:K00302,ko:K22086",0,NA,NA,NA,NA
"ko:K00303",0,NA,NA,NA,NA
"ko:K00303,ko:K22084",0,NA,NA,NA,NA
"ko:K00304",0,NA,NA,NA,NA
"ko:K00304,ko:K22085",0,NA,NA,NA,NA
"ko:K00305",0,NA,NA,NA,NA
"ko:K00305,ko:K22087",0,NA,NA,NA,NA
"ko:K00311",0,NA,NA,NA,NA
"ko:K00314",10.2803339506352,-0.210336740186292,1.04917648732445,0.118461181634747,0.442614197242023
"ko:K00315",0,NA,NA,NA,NA
"ko:K00324",5.07213719389183,-0.0521367284606184,0.987768221406879,0.831902208897268,0.871441970777467
"ko:K00325",0,NA,NA,NA,NA
"ko:K00329",0,NA,NA,NA,NA
"ko:K00329,ko:K00356",0,NA,NA,NA,NA
"ko:K00330",0,NA,NA,NA,NA
"ko:K00331",0,NA,NA,NA,NA
"ko:K00332",2.90259878010629,-0.214091182326621,1.05171836077827,0.174671578771067,0.442614197242023
"ko:K00333",0,NA,NA,NA,NA
"ko:K00334",0,NA,NA,NA,NA
"ko:K00334,ko:K03943",0,NA,NA,NA,NA
"ko:K00335",0,NA,NA,NA,NA
"ko:K00336",3.19032012055866,0.214739342132422,1.04983206570123,0.222303492974122,0.442614197242023
"ko:K00337",0,NA,NA,NA,NA
"ko:K00338,ko:K03941",6.45021951134732,-0.218068367253688,1.05434865053926,0.0980913646296497,0.437937943543205
"ko:K00339",2.08055880500493,-0.21110298656208,1.04981679417987,0.219380575216669,0.442614197242023
"ko:K00340",0,NA,NA,NA,NA
"ko:K00341",0,NA,NA,NA,NA
"ko:K00342",0,NA,NA,NA,NA
"ko:K00343",2.01493902351073,0.207956198416471,1.04614068035017,0.293488655948989,0.460204105482142
"ko:K00344",0,NA,NA,NA,NA
"ko:K00356",0,NA,NA,NA,NA
"ko:K00362",0,NA,NA,NA,NA
"ko:K00363",0,NA,NA,NA,NA
"ko:K00365,ko:K01452",0,NA,NA,NA,NA
"ko:K00368",0,NA,NA,NA,NA
"ko:K00372",0,NA,NA,NA,NA
"ko:K00372,ko:K02567",0,NA,NA,NA,NA
"ko:K00375",0,NA,NA,NA,NA
"ko:K00380,ko:K03734",0,NA,NA,NA,NA
"ko:K00381",2.26680640144957,0.209895626831208,1.04718507617715,0.273939176727353,0.450893675979804
"ko:K00382",4.20094035108201,-0.196855708196734,1.040825902912,0.222537010049386,0.442614197242023
"ko:K00383",0,NA,NA,NA,NA
"ko:K00384",0,NA,NA,NA,NA
"ko:K00390",0,NA,NA,NA,NA
"ko:K00404",0,NA,NA,NA,NA
"ko:K00405",0,NA,NA,NA,NA
"ko:K00406",0,NA,NA,NA,NA
"ko:K00407",0,NA,NA,NA,NA
"ko:K00410,ko:K00412",0,NA,NA,NA,NA
"ko:K00411",0,NA,NA,NA,NA
"ko:K00413",0,NA,NA,NA,NA
"ko:K00428",0,NA,NA,NA,NA
"ko:K00433",0,NA,NA,NA,NA
"ko:K00448",0,NA,NA,NA,NA
"ko:K00449",0,NA,NA,NA,NA
"ko:K00459",5.62503810730079,0.220864903097469,1.0531733336003,0.152646348776273,0.442614197242023
"ko:K00479",0,NA,NA,NA,NA
"ko:K00479,ko:K05549",0,NA,NA,NA,NA
"ko:K00480",0,NA,NA,NA,NA
"ko:K00480,ko:K16839",0,NA,NA,NA,NA
"ko:K00481",0,NA,NA,NA,NA
"ko:K00483",0,NA,NA,NA,NA
"ko:K00500",0,NA,NA,NA,NA
"ko:K00523,ko:K14581,ko:K18225",22.216275056458,-0.220480658695412,1.05600253029696,0.0346519408306809,0.413295885669075
"ko:K00525",20.8055880500493,-0.220409234812946,1.05595328572859,NA,NA
"ko:K00528",0,NA,NA,NA,NA
"ko:K00529",0,NA,NA,NA,NA
"ko:K00537",0,NA,NA,NA,NA
"ko:K00537,ko:K03741",0,NA,NA,NA,NA
"ko:K00544,ko:K00548",0,NA,NA,NA,NA
"ko:K00547",0,NA,NA,NA,NA
"ko:K00548",0,NA,NA,NA,NA
"ko:K00554",0,NA,NA,NA,NA
"ko:K00557,ko:K03215",2.68658536468097,0.212434205211117,1.04856821015201,0.247329475473852,0.442614197242023
"ko:K00560",0,NA,NA,NA,NA
"ko:K00564",0,NA,NA,NA,NA
"ko:K00566",6.12770853577995,-0.217892632157803,1.05422994023282,0.102021075251745,0.437937943543205
"ko:K00567",0,NA,NA,NA,NA
"ko:K00567,ko:K10778",0,NA,NA,NA,NA
"ko:K00568",15.505376674695,-0.220040154643906,1.05569786521248,0.0478491995178121,0.413295885669075
"ko:K00570",0,NA,NA,NA,NA
"ko:K00573",0,NA,NA,NA,NA
"ko:K00574",30.7264157082862,-0.392962648931411,1.1353497366205,0.0119515624964898,0.395895507696223
"ko:K00574,ko:K18164",0,NA,NA,NA,NA
"ko:K00595",0,NA,NA,NA,NA
"ko:K00600",0,NA,NA,NA,NA
"ko:K00602",0,NA,NA,NA,NA
"ko:K00604",0,NA,NA,NA,NA
"ko:K00605",24.6200017735416,-0.197112265848492,1.01427218103452,0.452935868445465,0.58550246408804
"ko:K00606",0,NA,NA,NA,NA
"ko:K00609",0,NA,NA,NA,NA
"ko:K00611",0,NA,NA,NA,NA
"ko:K00611,ko:K13252",0,NA,NA,NA,NA
"ko:K00615",0,NA,NA,NA,NA
"ko:K00616",0,NA,NA,NA,NA
"ko:K00619",0,NA,NA,NA,NA
"ko:K00620",2.85449694997353,0.213274045444991,1.0490285255299,0.238285755108437,0.442614197242023
"ko:K00626",7.36299451040778,-0.0517680484499495,0.987524758949603,0.83198044757245,0.871441970777467
"ko:K00626,ko:K00632,ko:K07823",0,NA,NA,NA,NA
"ko:K00627",0,NA,NA,NA,NA
"ko:K00638",0,NA,NA,NA,NA
"ko:K00638,ko:K18234",0,NA,NA,NA,NA
"ko:K00639",0,NA,NA,NA,NA
"ko:K00640",12.7434226806552,-0.219728766727818,1.05548265646555,0.0566676141494373,0.413295885669075
"ko:K00643",0,NA,NA,NA,NA
"ko:K00645",0,NA,NA,NA,NA
"ko:K00647",0,NA,NA,NA,NA
"ko:K00648",0,NA,NA,NA,NA
"ko:K00648,ko:K16872",0,NA,NA,NA,NA
"ko:K00651",0,NA,NA,NA,NA
"ko:K00652",0,NA,NA,NA,NA
"ko:K00655",0,NA,NA,NA,NA
"ko:K00657",0,NA,NA,NA,NA
"ko:K00658",0,NA,NA,NA,NA
"ko:K00661",0,NA,NA,NA,NA
"ko:K00663",2.41883231675525,-0.212723928507411,1.05083169444742,0.19723555173597,0.442614197242023
"ko:K00666",0,NA,NA,NA,NA
"ko:K00666,ko:K02182",0,NA,NA,NA,NA
"ko:K00666,ko:K02182,ko:K20034",0,NA,NA,NA,NA
"ko:K00674",3.69405487643634,0.216530287813746,1.05081331317534,0.202428702212259,0.442614197242023
"ko:K00677",0,NA,NA,NA,NA
"ko:K00684",0,NA,NA,NA,NA
"ko:K00688",0,NA,NA,NA,NA
"ko:K00697",0,NA,NA,NA,NA
"ko:K00700",1.12878841448578,-0.203812637341352,1.04542338735289,0.314639953712386,0.468927125211621
"ko:K00703",3.70887621902471,-0.215636111987963,1.05272688157803,0.147464280377277,0.442614197242023
"ko:K00721",0,NA,NA,NA,NA
"ko:K00748",0,NA,NA,NA,NA
"ko:K00754,ko:K19422",0,NA,NA,NA,NA
"ko:K00758",0,NA,NA,NA,NA
"ko:K00759",0,NA,NA,NA,NA
"ko:K00760",0,NA,NA,NA,NA
"ko:K00761",0,NA,NA,NA,NA
"ko:K00762",0,NA,NA,NA,NA
"ko:K00763",0,NA,NA,NA,NA
"ko:K00764",0,NA,NA,NA,NA
"ko:K00765",0,NA,NA,NA,NA
"ko:K00766,ko:K13497",0,NA,NA,NA,NA
"ko:K00767",0,NA,NA,NA,NA
"ko:K00768",0,NA,NA,NA,NA
"ko:K00769",0,NA,NA,NA,NA
"ko:K00772",0,NA,NA,NA,NA
"ko:K00773",0,NA,NA,NA,NA
"ko:K00783",0,NA,NA,NA,NA
"ko:K00786,ko:K08305",6.13841592605114,-0.203239200916008,1.04468042915461,0.17189439351095,0.442614197242023
"ko:K00788",0,NA,NA,NA,NA
"ko:K00788,ko:K01447,ko:K03806",0,NA,NA,NA,NA
"ko:K00789",0,NA,NA,NA,NA
"ko:K00790",0,NA,NA,NA,NA
