	Root241	Root381	Root105	Root236	Root179	Root495	Root68	Root1257	Root480	Root107	Root630	Root916	Root181	Root670	Root11	Root1472	Root1238	Root1471	Root491	Root569	Root685	Root1304	Root935	Root482	Root552	Root149	Root154	Root431	Root74	Root133	Root444D2	Root100	Root240	Root22	Root53	Root558	Root1298	Root920	Root1252	Root710	Root559	Root1280	Root101	Root102	Root1464	Root278	Root157	Root667	Root172	Root1203	Root190	Root170	Root265	Root1277	Root180	Root1455	Root186	Root70	Root635	Root954	Root61	Root1212	Root1295	Root423	Root456	Root322	Root1220	Root1293	Root136	Root332	Root564	Root318D1	Root122	Root217	Root123D2	Root1310	Root189	Root1240	Root614	Root1294	Root1433D1	Root151	Root1312	Root198D2
ko:K00963	Root241|1015,Root241|1084	Root381|2072	Root105|1185,Root105|3288	Root236|3331	Root179|2998	Root495|2497	Root68|890,Root68|1183	Root1257|4682	Root480|621	Root107|435	Root630|3595	Root916|1011		Root670|3284	Root11|3771,Root11|5888	Root1472|697	Root1238|3804	Root1471|2107	Root491|2014,Root491|4429	Root569|3113	Root685|2035,Root685|3002	Root1304|5155		Root482|3617	Root552|2588	Root149|2605	Root154|1,Root154|729,Root154|2241,Root154|3923	Root431|3600	Root74|1623,Root74|3778	Root133|2939	Root444D2|1601,Root444D2|3067,Root444D2|6224,Root444D2|6383	Root100|2510,Root100|4511	Root240|1876	Root22|2414	Root53|2630	Root558|4541,Root558|5447	Root1298|1447,Root1298|4515	Root920|624,Root920|3566	Root1252|3143,Root1252|5269,Root1252|6845	Root710|3455	Root559|1807	Root1280|2864	Root101|2756	Root102|1679,Root102|6464	Root1464|24	Root278|2959,Root278|5506	Root157|1165	Root667|2622	Root172|1765,Root172|4888	Root1203|2491	Root190|135	Root170|1477,Root170|2341	Root265|1192	Root1277|483	Root180|629	Root1455|2178		Root70|3653	Root635|2689	Root954|1655,Root954|2895	Root61|1165	Root1212|2559,Root1212|3489	Root1295|2673	Root423|1650,Root423|3725	Root456|2508	Root322|1291	Root1220|2660	Root1293|1484	Root136|2368,Root136|6103	Root332|995	Root564|3950	Root318D1|1898	Root122|611	Root217|4126	Root123D2|3094	Root1310|859,Root1310|1597,Root1310|7284,Root1310|7285	Root189|1458,Root189|3806	Root1240|2578	Root614|3253	Root1294|4374	Root1433D1|332	Root151|3720	Root1312|1502,Root1312|4262	Root198D2|2587
ko:K00969	Root241|56	Root381|989	Root105|1035	Root236|3830	Root179|620	Root495|736		Root1257|4955	Root480|1578	Root107|2316	Root630|405	Root916|3476	Root181|3435	Root670|3979	Root11|4605	Root1472|2336	Root1238|4804	Root1471|3013	Root491|2375		Root685|3672	Root1304|1376	Root935|466	Root482|2135	Root552|237	Root149|4240	Root154|982	Root431|372	Root74|1942	Root133|1285	Root444D2|704	Root100|1013	Root240|2543	Root22|1945	Root53|1106	Root558|2887	Root1298|1936	Root920|2613	Root1252|3717	Root710|3640	Root559|330		Root101|285	Root102|1135	Root1464|1581	Root278|3313	Root157|2327	Root667|1284	Root172|4107,Root172|4110	Root1203|2012	Root190|2266	Root170|7	Root265|2564	Root1277|3206	Root180|1004	Root1455|923	Root186|4134		Root635|1407	Root954|4818	Root61|359	Root1212|2279	Root1295|5238	Root423|1835	Root456|3457	Root322|184	Root1220|1269	Root1293|683	Root136|4672	Root332|1419	Root564|4360	Root318D1|4048	Root122|2028		Root123D2|4584	Root1310|946	Root189|2496	Root1240|3077	Root614|4210	Root1294|1418	Root1433D1|1432	Root151|4638	Root1312|1991	Root198D2|4945
ko:K00970	Root241|1821				Root179|521		Root68|4252		Root480|407		Root630|2757	Root916|1405				Root1472|1191	Root1238|2658			Root569|3718							Root154|1027			Root133|4188										Root710|612	Root559|212	Root1280|3265						Root667|2190				Root170|1384				Root1455|1212		Root70|3686														Root318D1|4973		Root217|5346			Root189|4718			Root1294|1958				Root198D2|2886
ko:K00971	Root241|338			Root236|3121		Root495|328		Root1257|2447					Root181|4289,Root181|4292			Root1472|715							Root935|146,Root935|1682				Root154|1733,Root154|3387				Root444D2|3055,Root444D2|3984		Root240|2748	Root22|1838	Root53|860					Root710|3851			Root101|1048		Root1464|2054						Root190|4658				Root180|1888	Root1455|2204	Root186|620,Root186|1501				Root61|3374				Root456|618	Root322|3320		Root1293|48		Root332|107			Root122|3410						Root614|3736	Root1294|1514	Root1433D1|2999			
ko:K00973	Root241|965	Root381|5172	Root105|1949	Root236|3292	Root179|1694	Root495|3047	Root68|3330	Root1257|1483	Root480|3061	Root107|889	Root630|268	Root916|3297	Root181|4245	Root670|2352	Root11|4278,Root11|5671	Root1472|2206	Root1238|3	Root1471|3328			Root685|2197	Root1304|6047	Root935|120,Root935|759		Root552|2089		Root154|55	Root431|5788	Root74|1599	Root133|3289	Root444D2|1537,Root444D2|2806	Root100|1054	Root240|1217	Root22|2646	Root53|804	Root558|6338	Root1298|1423	Root920|440	Root1252|6559	Root710|3003	Root559|478		Root101|560	Root102|214		Root278|6310	Root157|1942	Root667|1139	Root172|726	Root1203|4136	Root190|1203	Root170|3911	Root265|3273,Root265|5156	Root1277|1930	Root180|1820	Root1455|2169	Root186|649,Root186|3440	Root70|2470		Root954|1631	Root61|3424	Root1212|3544,Root1212|5012	Root1295|520,Root1295|6832	Root423|4375	Root456|513	Root322|957	Root1220|10	Root1293|104	Root136|5061	Root332|62	Root564|448	Root318D1|961	Root122|540	Root217|2915	Root123D2|472	Root1310|3187	Root189|3522,Root189|4944		Root614|1584	Root1294|1099	Root1433D1|2	Root151|891	Root1312|1478	Root198D2|2591
ko:K00978	Root241|3494						Root68|532								Root11|162	Root1472|3490			Root491|3688			Root1304|4706		Root482|35,Root482|4360					Root74|1533,Root74|4901							Root558|4765,Root558|5909	Root1298|1357,Root1298|5477	Root920|2771	Root1252|7111	Root710|1115						Root278|5160				Root1203|152				Root1277|2421		Root1455|1422				Root954|1565,Root954|5156		Root1212|882		Root423|4483,Root423|5591	Root456|2571		Root1220|596		Root136|6620							Root1310|7659							Root1312|1412,Root1312|5223	
ko:K00981	Root241|1227	Root381|3071	Root105|2713	Root236|1002	Root179|2302	Root495|1668	Root68|208	Root1257|887	Root480|117	Root107|5035	Root630|436,Root630|1167	Root916|2573,Root916|3507	Root181|1688	Root670|2114,Root670|4810	Root11|2529	Root1472|117,Root1472|3963	Root1238|2166,Root1238|2706	Root1471|564,Root1471|1236	Root491|72	Root569|2263,Root569|2476	Root685|691	Root1304|3682	Root935|3610	Root482|1974	Root552|181,Root552|1817	Root149|1297	Root154|1694	Root431|2013,Root431|2594	Root74|5778,Root74|5846	Root133|2917	Root444D2|261	Root100|1453	Root240|2587	Root22|870	Root53|1022	Root558|3138,Root558|3207	Root1298|3973,Root1298|4041	Root920|1798	Root1252|5024,Root1252|6704	Root710|801	Root559|923,Root559|3088	Root1280|542,Root1280|670	Root101|370	Root102|2572,Root102|5572	Root1464|1798	Root278|4039,Root278|4107	Root157|3017	Root667|1454,Root667|3466	Root172|307,Root172|4718	Root1203|1317,Root1203|1995	Root190|2224	Root170|519	Root265|6306	Root1277|1099,Root1277|2262	Root180|1373	Root1455|3385	Root186|2929	Root70|244,Root70|3002	Root635|3408	Root954|3797,Root954|3865	Root61|255	Root1212|1301,Root1212|3621	Root1295|3138	Root423|6087,Root423|6156	Root456|2285	Root322|564	Root1220|652,Root1220|1228	Root1293|1024	Root136|1446	Root332|1293		Root318D1|1092,Root318D1|3614,Root318D1|3964	Root122|3928	Root217|291,Root217|1633	Root123D2|1275	Root1310|1708,Root1310|6814	Root189|3395	Root1240|3692	Root614|4269	Root1294|1739	Root1433D1|1805	Root151|1708	Root1312|5637,Root1312|5705	Root198D2|1664,Root198D2|2640
ko:K00982	Root241|2038	Root381|147	Root105|2048	Root236|98	Root179|2384	Root495|952	Root68|1731	Root1257|4320	Root480|2866	Root107|6389	Root630|795	Root916|2541	Root181|3019	Root670|568		Root1472|3266	Root1238|728	Root1471|406	Root491|511	Root569|1628	Root685|1500	Root1304|1700		Root482|969	Root552|2235	Root149|277	Root154|2152	Root431|2123	Root74|2955	Root133|444		Root100|2047	Root240|3961	Root22|2111	Root53|388	Root558|2250	Root1298|3307		Root1252|2737	Root710|2085	Root559|897	Root1280|1209	Root101|2878	Root102|98	Root1464|1410	Root278|593	Root157|1008	Root667|1424	Root172|613	Root1203|696	Root190|4244	Root170|22	Root265|2777	Root1277|88	Root180|1070	Root1455|1937		Root70|1150	Root635|55	Root954|1211	Root61|464	Root1212|283	Root1295|4887	Root423|2908	Root456|2050	Root322|311	Root1220|3605	Root1293|856	Root136|4398	Root332|2106	Root564|1807	Root318D1|3244	Root122|1291	Root217|3578	Root123D2|4313	Root1310|517	Root189|4437	Root1240|439	Root614|2544	Root1294|3835,Root1294|3836	Root1433D1|1558	Root151|2852	Root1312|3652	Root198D2|3384
ko:K00989	Root241|2809	Root381|4008	Root105|574	Root236|3680	Root179|2869	Root495|609	Root68|2998	Root1257|2363	Root480|2800	Root107|1946	Root630|3298	Root916|3636	Root181|3534	Root670|3742	Root11|3263	Root1472|3835	Root1238|3498	Root1471|113	Root491|1105	Root569|2351	Root685|3859	Root1304|1109		Root482|2818	Root552|2862	Root149|2046	Root154|1268	Root431|639	Root74|855	Root133|3359	Root444D2|2747	Root100|3157	Root240|2694	Root22|1919	Root53|1255	Root558|1528	Root1298|854	Root920|3081	Root1252|599	Root710|708	Root559|3119	Root1280|2838	Root101|3243	Root102|723	Root1464|3406	Root278|320	Root157|691	Root667|3435	Root172|3635	Root1203|3421	Root190|1972	Root170|813	Root265|5984	Root1277|3065	Root180|2976	Root1455|2432		Root70|531	Root635|660	Root954|2405	Root61|848	Root1212|1112	Root1295|5584	Root423|853	Root456|1763	Root322|3361	Root1220|242	Root1293|1221	Root136|6683	Root332|1329	Root564|3171	Root318D1|1398	Root122|2597	Root217|6219	Root123D2|3777	Root1310|1290	Root189|3995	Root1240|1406	Root614|1115	Root1294|3005	Root1433D1|3040	Root151|4254	Root1312|853	Root198D2|149
ko:K00990	Root241|2816	Root381|4832	Root105|495	Root236|1035	Root179|2295	Root495|1695	Root68|215	Root1257|914	Root480|124	Root107|5008	Root630|447	Root916|3522	Root181|1653	Root670|2252		Root1472|4356	Root1238|3274	Root1471|2876	Root491|1087	Root569|2270	Root685|3882	Root1304|3708		Root482|2840	Root552|2751	Root149|2067	Root154|2919	Root431|1987	Root74|878	Root133|2924		Root100|4090	Root240|2619	Root22|890		Root558|1551	Root1298|877		Root1252|576	Root710|3526	Root559|3073	Root1280|168	Root101|405	Root102|1725		Root278|343	Root157|2355	Root667|3482	Root172|1804	Root1203|3396	Root190|2192	Root170|512	Root265|5007	Root1277|2836		Root1455|3824		Root70|3251	Root635|632	Root954|2382		Root1212|1090	Root1295|3113	Root423|876	Root456|68		Root1220|216		Root136|1479		Root564|3154	Root318D1|2836	Root122|3953	Root217|1091	Root123D2|3632	Root1310|6840	Root189|3402	Root1240|1387	Root614|4323	Root1294|1270		Root151|1684	Root1312|876	Root198D2|1676
ko:K00992	Root241|3715				Root179|2263				Root480|1550		Root630|218	Root916|2344				Root1472|3888	Root1238|421										Root154|4277			Root133|4103										Root710|3921	Root559|644							Root667|975				Root170|1340		Root1277|3150		Root1455|2266		Root70|1048														Root318D1|3165		Root217|3687			Root189|3726			Root1294|1274				Root198D2|2760
ko:K00995,ko:K08744	Root241|922	Root381|1489	Root105|2367	Root236|598,Root236|933		Root495|1280,Root495|1606	Root68|1153	Root1257|284,Root1257|4222		Root107|4025,Root107|6799			Root181|2450,Root181|3224	Root670|208,Root670|2882		Root1472|404	Root1238|1032	Root1471|1014,Root1471|1028	Root491|373	Root569|4456	Root685|1765	Root1304|5583,Root1304|5799		Root482|833	Root552|1146,Root552|1785	Root149|150	Root154|3727	Root431|753,Root431|3392	Root74|2818	Root133|3956		Root100|2200,Root100|2216	Root240|4137,Root240|4467	Root22|825,Root22|2372	Root53|1827	Root558|2108	Root1298|2897		Root1252|2594	Root710|2301		Root1280|1731	Root101|1692,Root101|3068	Root102|5369,Root102|5406	Root1464|1240,Root1464|3154	Root278|1811	Root157|3079,Root157|3402		Root172|423,Root172|460	Root1203|3070	Root190|3524,Root190|3956	Root170|2576	Root265|1612,Root265|4696		Root180|1530			Root70|4449	Root635|2583	Root954|1355	Root61|3678	Root1212|138	Root1295|7110,Root1295|7543	Root423|2766	Root456|709,Root456|2200	Root322|707	Root1220|3742	Root1293|386,Root1293|464	Root136|1301,Root136|6609	Root332|1500,Root332|2373	Root564|3613	Root318D1|2272	Root122|1511,Root122|1863	Root217|3811	Root123D2|1651,Root123D2|2714	Root1310|4832,Root1310|7210	Root189|1499	Root1240|274	Root614|2737,Root614|4637	Root1294|3541	Root1433D1|1950	Root151|2232,Root151|2556	Root1312|3115	Root198D2|3171
ko:K00997	Root241|148	Root381|2709	Root105|1717	Root236|1636,Root236|3751		Root495|656,Root495|2237		Root1257|1757		Root107|839			Root181|4136	Root670|383	Root11|6131	Root1472|4954	Root1238|1393	Root1471|444	Root491|463		Root685|1200	Root1304|456,Root1304|792		Root482|932	Root552|2690	Root149|236	Root154|3245	Root431|4418,Root431|4787,Root431|5068	Root74|2717	Root133|3954	Root444D2|6136	Root100|2094	Root240|3544	Root22|1383	Root53|1398	Root558|2208	Root1298|2796	Root920|3313	Root1252|2695	Root710|2128			Root101|887	Root102|54	Root1464|2410	Root278|1913	Root157|1047		Root172|566	Root1203|2984	Root190|1577	Root170|2573	Root265|2387	Root1277|980	Root180|218	Root1455|4061		Root70|2122	Root635|2943	Root954|1254	Root61|3153	Root1212|252	Root1295|839	Root423|2866	Root456|1254	Root322|3055	Root1220|3661	Root1293|1876	Root136|4805	Root332|840	Root564|1731	Root318D1|2004	Root122|849,Root122|4069	Root217|793	Root123D2|1089	Root1310|2228	Root189|1496	Root1240|373	Root614|1404	Root1294|3787	Root1433D1|2736	Root151|603	Root1312|3014	Root198D2|3169
ko:K01000	Root241|2068	Root381|1966	Root105|2130,Root105|3982	Root236|184	Root179|1223	Root495|1051	Root68|2243	Root1257|671	Root480|1919	Root107|5511	Root630|104	Root916|2052	Root181|3328	Root670|1207	Root11|2438	Root1472|4696	Root1238|5800	Root1471|1632	Root491|2726	Root569|287	Root685|196,Root685|1781	Root1304|1849	Root935|2329	Root482|467	Root552|3548	Root149|1017	Root154|1616	Root431|2271	Root74|169	Root133|273	Root444D2|569	Root100|318	Root240|257	Root22|772	Root53|1200	Root558|171	Root1298|169	Root920|1658	Root1252|1079	Root710|2055	Root559|2424	Root1280|2272	Root101|177	Root102|4290	Root1464|1263	Root278|2265	Root157|2086	Root667|719	Root172|3428	Root1203|1696	Root190|2594	Root170|1284	Root265|5264	Root1277|1812	Root180|924	Root1455|4182	Root186|2160	Root70|2351	Root635|3372	Root954|5401	Root61|102	Root1212|1947	Root1295|4745	Root423|168	Root456|2127,Root456|3279	Root322|75	Root1220|4554	Root1293|489	Root136|1161,Root136|6122	Root332|2350	Root564|2553	Root318D1|1080	Root122|3724	Root217|3059	Root123D2|265	Root1310|365	Root189|3316	Root1240|2041	Root614|228	Root1294|3866	Root1433D1|1323	Root151|1883	Root1312|169	Root198D2|3568
ko:K01006	Root241|3145	Root381|323	Root105|4169	Root236|864				Root1257|2695		Root107|2416				Root670|742		Root1472|37		Root1471|313	Root491|688		Root685|1635	Root1304|1449		Root482|1092	Root552|2074	Root149|485	Root154|97	Root431|291	Root74|3100		Root444D2|3187	Root100|1952	Root240|4627			Root558|2396	Root1298|3452		Root1252|2885	Root710|1014				Root102|242		Root278|735	Root157|913		Root172|736	Root1203|470	Root190|572			Root1277|1529		Root1455|3310			Root635|276	Root954|1066		Root1212|424	Root1295|5146	Root423|3054	Root456|2368		Root1220|2160				Root564|1956		Root122|2053		Root123D2|2294	Root1310|847,Root1310|3051		Root1240|731		Root1294|2084		Root151|936,Root151|2420	Root1312|3797	
ko:K01011	Root241|2679	Root381|1336,Root381|3662,Root381|4631	Root105|843,Root105|2522	Root236|2941,Root236|3107	Root179|537	Root495|316	Root68|1689,Root68|2528	Root1257|532,Root1257|1455	Root480|1255	Root107|648,Root107|3928,Root107|4838	Root630|481	Root916|3561	Root181|3153,Root181|4506	Root670|2030,Root670|2081	Root11|1321	Root1472|2805	Root1238|1480,Root1238|5480	Root1471|1055	Root491|297	Root569|1239,Root569|1590,Root569|1752	Root685|168,Root685|1899	Root1304|950,Root1304|5592,Root1304|5936	Root935|3589	Root482|1761	Root552|1108,Root552|1291	Root149|1623,Root149|3603	Root154|2413	Root431|3053,Root431|3275,Root431|4907	Root74|5649	Root133|139,Root133|2637	Root444D2|6962	Root100|4677,Root100|4935	Root240|125,Root240|1963	Root22|1186,Root22|1374	Root53|1976,Root53|2136	Root558|3406	Root1298|4170		Root1252|4890	Root710|2477	Root559|3034	Root1280|2043	Root101|194,Root101|2983	Root102|5981	Root1464|1706,Root1464|2767	Root278|4230	Root157|2411,Root157|3444	Root667|3520	Root172|6308	Root1203|1504	Root190|1178	Root170|1988,Root170|4893	Root265|3447,Root265|5879,Root265|6157	Root1277|8	Root180|32,Root180|1106	Root1455|2480	Root186|2906	Root70|77,Root70|2567,Root70|3635	Root635|3184	Root954|3668	Root61|503,Root61|1103	Root1212|3093	Root1295|7021,Root1295|7653	Root423|5921	Root456|300,Root456|677	Root322|354,Root322|2055	Root1220|4043	Root1293|542,Root1293|1423,Root1293|1466	Root136|2854,Root136|2910,Root136|3336,Root136|3674	Root332|693,Root332|2141	Root564|1618	Root318D1|1494,Root318D1|4885	Root122|506,Root122|1678	Root217|500,Root217|1332,Root217|2807,Root217|4096	Root123D2|1970,Root123D2|2407	Root1310|1895,Root1310|3433,Root1310|4932	Root189|3782,Root189|3929	Root1240|3554	Root614|122,Root614|1608	Root1294|3682	Root1433D1|1146,Root1433D1|1601	Root151|1104,Root151|1995	Root1312|5508	Root198D2|3755,Root198D2|4612
ko:K01012	Root241|1543,Root241|1647			Root236|2757	Root179|1120		Root68|2693		Root480|2575	Root107|5365	Root630|3107	Root916|3079	Root181|1596		Root11|2232	Root1472|756,Root1472|3975	Root1238|4435		Root491|5077	Root569|1077		Root1304|5445	Root935|514			Root149|436	Root154|3638	Root431|916	Root74|2473	Root133|4979		Root100|3739	Root240|790	Root22|1968		Root558|5845	Root1298|2551	Root920|1035		Root710|3982,Root710|4313	Root559|1957	Root1280|3480		Root102|5692,Root102|6260		Root278|1321		Root667|24	Root172|6055	Root1203|4316	Root190|2133	Root170|3610	Root265|251	Root1277|1861,Root1277|2760,Root1277|2761,Root1277|3239,Root1277|3873,Root1277|4129		Root1455|2324	Root186|4183	Root70|1491		Root954|211			Root1295|7428	Root423|2036					Root136|6044		Root564|1834	Root318D1|3781		Root217|5892		Root1310|7333	Root189|108		Root614|4375	Root1294|4367		Root151|1613	Root1312|2770	Root198D2|783
ko:K01028	Root241|873	Root381|2236,Root381|3305					Root68|5237	Root1257|3703		Root107|1973	Root630|1091	Root916|1973	Root181|3613	Root670|3378,Root670|4651		Root1472|733,Root1472|1535	Root1238|1020			Root569|4490	Root685|2376						Root154|1044			Root133|2985	Root444D2|5406			Root22|590	Root53|913					Root710|1992,Root710|3164	Root559|2496	Root1280|3611	Root101|1161	Root102|5249	Root1464|1551,Root1464|3299	Root278|6645		Root667|647			Root190|3034,Root190|3451	Root170|1811	Root265|1293,Root265|3836	Root1277|2716	Root180|1474	Root1455|515,Root1455|2566		Root70|4054	Root635|1706		Root61|771,Root61|1522	Root1212|3778	Root1295|4405		Root456|2818	Root322|681		Root1293|1521	Root136|4170	Root332|1930		Root318D1|2564	Root122|1357,Root122|3426	Root217|1952	Root123D2|101	Root1310|4764,Root1310|7152	Root189|785		Root614|3850	Root1294|145,Root1294|3313	Root1433D1|1922	Root151|1292,Root151|3640		Root198D2|1743
ko:K01029	Root241|876	Root381|2235,Root381|3306					Root68|5236	Root1257|3702			Root630|1092	Root916|1974	Root181|3614	Root670|3377,Root670|4128,Root670|5077		Root1472|732,Root1472|1534	Root1238|1021			Root569|4491	Root685|2377						Root154|1047			Root133|2984			Root240|4770	Root22|589	Root53|914					Root710|1993,Root710|3165	Root559|2495	Root1280|3612		Root102|5250	Root1464|3298	Root278|6646		Root667|648			Root190|3033	Root170|1812	Root265|3837	Root1277|2715	Root180|1473	Root1455|514,Root1455|2567		Root70|4055	Root635|1705		Root61|770,Root61|1523	Root1212|3777			Root456|2819	Root322|680		Root1293|1522	Root136|4171	Root332|1931		Root318D1|2565	Root122|3427	Root217|1953	Root123D2|102	Root1310|4763,Root1310|7151	Root189|784		Root614|3851	Root1294|144,Root1294|995,Root1294|3314	Root1433D1|1921	Root151|3639		Root198D2|1742
ko:K01048	Root241|3154	Root381|2084	Root105|3301				Root68|2482							Root670|3296	Root11|3006	Root1472|162,Root1472|2869	Root1238|2704	Root1471|2115	Root491|2100	Root569|1289	Root685|2897			Root482|3625	Root552|2595	Root149|995,Root149|2616			Root74|3769			Root100|2520			Root53|1910	Root558|4532	Root1298|4506	Root920|3270	Root1252|3152					Root102|3165	Root1464|718	Root278|2950	Root157|1158		Root172|4895	Root1203|1722,Root1203|2503		Root170|4138	Root265|2942	Root1277|459,Root1277|1135	Root180|2298	Root1455|2863,Root1455|4608		Root70|4257	Root635|2699	Root954|2904	Root61|1867	Root1212|2551		Root423|3716		Root322|1746	Root1220|2672,Root1220|4527	Root1293|2785	Root136|4380	Root332|691	Root564|3936	Root318D1|3141		Root217|3429	Root123D2|3086			Root1240|2589			Root1433D1|816		Root1312|4253	Root198D2|5359
ko:K01051	Root241|3191									Root107|1781		Root916|2844				Root1472|2908,Root1472|4122							Root935|1179,Root935|1274,Root935|1508															Root920|2126			Root559|3651							Root667|1726								Root1455|3191	Root186|180,Root186|298						Root1295|6367													Root1310|102,Root1310|103								
ko:K01053	Root241|452						Root68|1260	Root1257|3973			Root630|1326,Root630|1708					Root1472|1121,Root1472|2050,Root1472|4971		Root1471|3506				Root1304|4744					Root154|1035,Root154|3117	Root431|4674			Root444D2|2061																		Root172|1248			Root170|970,Root170|1043,Root170|3200		Root1277|3434		Root1455|1143,Root1455|3054,Root1455|4076	Root186|346	Root70|4050									Root1220|4811					Root318D1|912,Root318D1|1653,Root318D1|4671		Root217|1701,Root217|1948	Root123D2|2413	Root1310|5893				Root1294|3580				
ko:K01056	Root241|3138	Root381|1510,Root381|2710	Root105|2396	Root236|3392	Root179|270	Root495|2394	Root68|2318	Root1257|1806	Root480|1418	Root107|383	Root630|1397	Root916|3846	Root181|4072	Root670|2904	Root11|6524	Root1472|1165	Root1238|3097	Root1471|1886,Root1471|2750	Root491|2608,Root491|4449	Root569|494	Root685|1788	Root1304|5097	Root935|824	Root482|1650,Root482|3652	Root552|3256	Root149|856	Root154|107	Root431|3679	Root74|4761	Root133|5303	Root444D2|6548	Root100|657	Root240|3442	Root22|14	Root53|671	Root558|4656	Root1298|5338	Root920|3406	Root1252|6371	Root710|2829	Root559|3311	Root1280|855	Root101|2820	Root102|3358	Root1464|3615	Root278|2053	Root157|1319	Root667|3890	Root172|5113	Root1203|1879,Root1203|4616	Root190|1287	Root170|3121	Root265|1152	Root1277|287	Root180|752	Root1455|1185	Root186|3358	Root70|511	Root635|2435	Root954|5016	Root61|1048	Root1212|1744	Root1295|2759	Root423|4995	Root456|2561	Root322|3304	Root1220|3338	Root1293|1384	Root136|2332	Root332|1120	Root564|3889	Root318D1|1377	Root122|825	Root217|1385	Root123D2|2694	Root1310|1531	Root189|3251	Root1240|2176,Root1240|2613	Root614|1508	Root1294|383	Root1433D1|2983	Root151|3986	Root1312|5084	Root198D2|2420
ko:K01057	Root241|1172		Root105|5642	Root236|382	Root179|445	Root495|1467	Root68|1974	Root1257|87	Root480|2296	Root107|3283	Root630|1413	Root916|894,Root916|3952	Root181|2633			Root1472|1865		Root1471|3553	Root491|885	Root569|2827	Root685|1718	Root1304|2018	Root935|3295	Root482|3948	Root552|1444	Root149|2293	Root154|1775	Root431|2429	Root74|3354			Root100|1738	Root240|4407	Root22|3934	Root53|459	Root558|1838	Root1298|3708		Root1252|242	Root710|3419	Root559|1323,Root559|1699		Root101|1518	Root102|4516	Root1464|1618	Root278|982	Root157|2388	Root667|1931,Root667|2513	Root172|5659	Root1203|199	Root190|3690		Root265|148	Root1277|4016	Root180|1295	Root1455|1553	Root186|1277		Root635|360	Root954|811	Root61|194	Root1212|690	Root1295|4573	Root423|3308	Root456|883	Root322|250	Root1220|2406	Root1293|646	Root136|872	Root332|2230	Root564|2154		Root122|3554			Root1310|180		Root1240|1128	Root614|2986	Root1294|916,Root1294|4242	Root1433D1|1497	Root151|2311	Root1312|4053	
ko:K01061	Root241|2246,Root241|2949	Root381|3244,Root381|3572	Root105|4494,Root105|4915,Root105|4970		Root179|3127	Root495|2342	Root68|3491	Root1257|2433	Root480|438	Root107|6739	Root630|2781	Root916|1373	Root181|356,Root181|714	Root670|3969,Root670|4682,Root670|5021		Root1472|1202,Root1472|1204,Root1472|3808,Root1472|4838	Root1238|2814,Root1238|5477	Root1471|1413,Root1471|1581	Root491|860	Root569|4609	Root685|2753	Root1304|6508		Root482|1280	Root552|892,Root552|1143	Root149|672	Root154|2980,Root154|3440,Root154|4168		Root74|3283	Root133|136,Root133|231		Root100|289				Root558|2579	Root1298|3637		Root1252|117	Root710|1303,Root710|1892,Root710|3474	Root559|182	Root1280|4210	Root101|1614,Root101|1758,Root101|1941,Root101|1942	Root102|3566,Root102|4332		Root278|915		Root667|2160	Root172|3104,Root172|3383	Root1203|273,Root1203|4764		Root170|1983,Root170|3605,Root170|4046	Root265|614,Root265|735,Root265|1595,Root265|5032	Root1277|289,Root1277|290,Root1277|534,Root1277|2869,Root1277|3817		Root1455|1222,Root1455|1223,Root1455|2399,Root1455|3764	Root186|218	Root70|702,Root70|2195	Root635|6	Root954|882		Root1212|612	Root1295|1955	Root423|3237	Root456|2482,Root456|3080		Root1220|2344		Root136|4280,Root136|5035	Root332|387		Root318D1|4230,Root318D1|4510,Root318D1|4895	Root122|2912	Root217|719,Root217|1123,Root217|4393,Root217|5274	Root123D2|1911,Root123D2|3655	Root1310|3608,Root1310|8094	Root189|2786,Root189|3784	Root1240|1003		Root1294|36,Root1294|1222,Root1294|3362,Root1294|3430		Root151|2785	Root1312|3982	Root198D2|1937,Root198D2|2552
